Person_ID,Timestamp,CH1,CH2,CH3,CH4
9e7b30e6,ts1739732274707,38,99,115,150
9e7b30e6,ts1739732274708,36,57,80,108
9e7b30e6,ts1739732274708,53,56,69,87
9e7b30e6,ts1739732274708,0,6,33,56
9e7b30e6,ts1739732274710,65,41,44,51
9e7b30e6,ts1739732274711,0,0,17,32
9e7b30e6,ts1739732274712,48,32,31,34
9e7b30e6,ts1739732274712,0,0,13,22
9e7b30e6,ts1739732274712,32,22,23,24
9e7b30e6,ts1739732274713,0,1,12,17
9e7b30e6,ts1739732274713,31,21,20,20
9e7b30e6,ts1739732274713,4,11,16,19
9e7b30e6,ts1739732274716,9,11,15,18
9e7b30e6,ts1739732274716,34,27,25,23
9e7b30e6,ts1739732274718,0,0,4,12
9e7b30e6,ts1739732274718,44,27,21,19
9e7b30e6,ts1739732274718,0,0,1,9
9e7b30e6,ts1739732274719,44,27,20,17
9e7b30e6,ts1739732274721,0,0,5,10
9e7b30e6,ts1739732274722,56,36,27,21
9e7b30e6,ts1739732274722,0,4,12,16
9e7b30e6,ts1739732274722,36,27,23,21
9e7b30e6,ts1739732274722,0,8,14,17
9e7b30e6,ts1739732274722,24,19,18,18
9e7b30e6,ts1739732274725,22,24,22,21
9e7b30e6,ts1739732274725,0,0,6,12
9e7b30e6,ts1739732274725,52,33,24,19
9e7b30e6,ts1739732274728,0,0,4,10
9e7b30e6,ts1739732274728,57,36,26,21
9e7b30e6,ts1739732274728,0,1,9,13
9e7b30e6,ts1739732274729,46,32,25,21
9e7b30e6,ts1739732274729,0,0,10,14
9e7b30e6,ts1739732274729,35,24,21,19
9e7b30e6,ts1739732274729,0,5,11,15
9e7b30e6,ts1739732274732,36,25,21,19
9e7b30e6,ts1739732274732,8,15,17,18
9e7b30e6,ts1739732274734,0,0,7,11
9e7b30e6,ts1739732274734,15,13,13,13
9e7b30e6,ts1739732274734,0,0,0,4
9e7b30e6,ts1739732274734,50,31,20,15
9e7b30e6,ts1739732274737,20,26,23,20
9e7b30e6,ts1739732274738,51,42,34,29
9e7b30e6,ts1739732274738,0,4,15,20
9e7b30e6,ts1739732274738,39,28,25,23
9e7b30e6,ts1739732274738,0,7,14,18
9e7b30e6,ts1739732274741,19,17,17,18
9e7b30e6,ts1739732274741,0,2,9,13
9e7b30e6,ts1739732274742,0,0,0,6
9e7b30e6,ts1739732274744,16,11,9,9
9e7b30e6,ts1739732274744,0,0,0,0
9e7b30e6,ts1739732274744,9,2,2,2
9e7b30e6,ts1739732274744,0,0,0,0
9e7b30e6,ts1739732274744,0,0,0,0
9e7b30e6,ts1739732274746,0,0,0,0
9e7b30e6,ts1739732274748,6,0,0,0
9e7b30e6,ts1739732274748,0,0,0,0
9e7b30e6,ts1739732274750,0,0,0,0
9e7b30e6,ts1739732274751,0,0,0,0
9e7b30e6,ts1739732274751,0,0,0,0
9e7b30e6,ts1739732274751,0,0,0,0
9e7b30e6,ts1739732274752,0,0,0,0
9e7b30e6,ts1739732274753,0,0,0,0
9e7b30e6,ts1739732274753,0,0,0,0
9e7b30e6,ts1739732274755,10,3,0,0
9e7b30e6,ts1739732274755,0,0,0,0
9e7b30e6,ts1739732274755,9,3,0,0
9e7b30e6,ts1739732274755,0,0,0,0
9e7b30e6,ts1739732274755,10,3,0,0
9e7b30e6,ts1739732274755,0,0,0,0
9e7b30e6,ts1739732274758,14,5,2,0
9e7b30e6,ts1739732274758,0,0,0,1
9e7b30e6,ts1739732274758,50,33,21,15
9e7b30e6,ts1739732274761,64,54,40,30
9e7b30e6,ts1739732274761,58,56,47,39
9e7b30e6,ts1739732274762,70,67,57,49
9e7b30e6,ts1739732274763,16,35,41,43
9e7b30e6,ts1739732274764,63,54,49,47
9e7b30e6,ts1739732274764,0,1,19,29
9e7b30e6,ts1739732274765,23,17,21,25
9e7b30e6,ts1739732274769,0,0,2,12
9e7b30e6,ts1739732274779,0,0,0,3
9e7b30e6,ts1739732274790,0,0,0,0
9e7b30e6,ts1739732274803,0,0,0,0
9e7b30e6,ts1739732274811,0,0,0,0
9e7b30e6,ts1739732274824,0,0,0,0
9e7b30e6,ts1739732274833,0,0,0,0
9e7b30e6,ts1739732274842,0,0,0,0
9e7b30e6,ts1739732274856,17,9,2,0
9e7b30e6,ts1739732274867,0,0,0,0
9e7b30e6,ts1739732274876,24,12,6,2
9e7b30e6,ts1739732274887,0,0,0,0
9e7b30e6,ts1739732274895,30,16,9,6
9e7b30e6,ts1739732274908,0,0,0,1
9e7b30e6,ts1739732274921,26,15,10,7
9e7b30e6,ts1739732274932,0,0,0,3
9e7b30e6,ts1739732274942,24,14,10,8
9e7b30e6,ts1739732274950,0,0,2,5
9e7b30e6,ts1739732274964,14,11,8,8
9e7b30e6,ts1739732274973,0,5,7,7
9e7b30e6,ts1739732274985,0,0,0,2
9e7b30e6,ts1739732274995,35,23,15,11
9e7b30e6,ts1739732275005,0,0,0,3
9e7b30e6,ts1739732275016,42,25,16,12
9e7b30e6,ts1739732275029,0,0,0,4
9e7b30e6,ts1739732275040,42,26,17,13
9e7b30e6,ts1739732275051,0,0,3,7
9e7b30e6,ts1739732275061,31,20,15,13
9e7b30e6,ts1739732275069,0,0,3,7
9e7b30e6,ts1739732275084,21,13,11,10
9e7b30e6,ts1739732275090,0,1,5,8
9e7b30e6,ts1739732275105,8,6,6,8
9e7b30e6,ts1739732275116,17,15,13,12
9e7b30e6,ts1739732275126,0,0,0,3
9e7b30e6,ts1739732275138,48,29,18,13
9e7b30e6,ts1739732275147,0,0,2,6
9e7b30e6,ts1739732275160,51,33,23,17
9e7b30e6,ts1739732275168,0,0,4,9
9e7b30e6,ts1739732275179,48,31,22,18
9e7b30e6,ts1739732275192,0,1,8,12
9e7b30e6,ts1739732275203,42,29,22,19
9e7b30e6,ts1739732275213,0,9,13,15
9e7b30e6,ts1739732275224,32,24,20,19
9e7b30e6,ts1739732275235,14,19,19,19
9e7b30e6,ts1739732275246,0,4,10,14
9e7b30e6,ts1739732275258,60,42,31,25
9e7b30e6,ts1739732275266,0,1,11,16
9e7b30e6,ts1739732275278,56,38,29,25
9e7b30e6,ts1739732275289,0,1,11,16
9e7b30e6,ts1739732275299,55,37,28,24
9e7b30e6,ts1739732275312,0,11,17,19
9e7b30e6,ts1739732275322,47,35,29,26
9e7b30e6,ts1739732275332,10,20,23,23
9e7b30e6,ts1739732275345,38,32,29,27
9e7b30e6,ts1739732275355,29,31,30,28
9e7b30e6,ts1739732275366,9,17,21,24
9e7b30e6,ts1739732275377,65,49,39,34
9e7b30e6,ts1739732275388,0,4,16,22
9e7b30e6,ts1739732275398,57,41,33,30
9e7b30e6,ts1739732275410,0,0,11,18
9e7b30e6,ts1739732275420,53,38,30,26
9e7b30e6,ts1739732275431,0,3,13,18
9e7b30e6,ts1739732275442,43,30,25,23
9e7b30e6,ts1739732275453,0,7,13,17
9e7b30e6,ts1739732275463,32,24,21,20
9e7b30e6,ts1739732275475,9,19,20,20
9e7b30e6,ts1739732275486,8,10,14,17
9e7b30e6,ts1739732275496,54,41,32,27
9e7b30e6,ts1739732275508,0,0,11,16
9e7b30e6,ts1739732275519,57,38,30,25
9e7b30e6,ts1739732275529,0,0,10,16
9e7b30e6,ts1739732275540,55,37,28,24
9e7b30e6,ts1739732275549,0,2,12,16
9e7b30e6,ts1739732275558,44,30,24,22
9e7b30e6,ts1739732275573,0,6,13,16
9e7b30e6,ts1739732275583,33,24,21,20
9e7b30e6,ts1739732275595,6,13,16,18
9e7b30e6,ts1739732275606,15,14,15,17
9e7b30e6,ts1739732275617,48,38,30,25
9e7b30e6,ts1739732275625,0,0,9,15
9e7b30e6,ts1739732275638,57,39,29,24
9e7b30e6,ts1739732275648,0,0,8,14
9e7b30e6,ts1739732275660,54,36,27,23
9e7b30e6,ts1739732275671,0,0,10,15
9e7b30e6,ts1739732275682,44,30,24,21
9e7b30e6,ts1739732275690,0,4,11,15
9e7b30e6,ts1739732275704,33,23,20,18
9e7b30e6,ts1739732275713,3,11,15,16
9e7b30e6,ts1739732275725,18,15,16,16
9e7b30e6,ts1739732275736,37,33,27,23
9e7b30e6,ts1739732275745,0,0,8,13
9e7b30e6,ts1739732275758,58,37,28,23
9e7b30e6,ts1739732275765,0,0,7,13
9e7b30e6,ts1739732275779,57,37,27,23
9e7b30e6,ts1739732275790,0,0,9,14
9e7b30e6,ts1739732275800,47,31,24,21
9e7b30e6,ts1739732275813,0,4,11,15
9e7b30e6,ts1739732275824,41,27,22,20
9e7b30e6,ts1739732275834,1,11,15,17
9e7b30e6,ts1739732275845,24,19,18,18
9e7b30e6,ts1739732275857,28,27,24,22
9e7b30e6,ts1739732275866,0,0,6,12
9e7b30e6,ts1739732275878,59,37,27,22
9e7b30e6,ts1739732275889,0,0,7,13
9e7b30e6,ts1739732275899,55,36,27,22
9e7b30e6,ts1739732275910,0,0,7,13
9e7b30e6,ts1739732275918,49,32,24,20
9e7b30e6,ts1739732275928,0,5,12,15
9e7b30e6,ts1739732275943,39,28,23,20
9e7b30e6,ts1739732275953,0,9,14,16
9e7b30e6,ts1739732275965,26,21,19,19
9e7b30e6,ts1739732275976,16,19,19,19
9e7b30e6,ts1739732275985,0,1,8,13
9e7b30e6,ts1739732275998,58,41,30,23
9e7b30e6,ts1739732276008,0,0,8,14
9e7b30e6,ts1739732276018,57,38,28,23
9e7b30e6,ts1739732276029,0,0,7,13
9e7b30e6,ts1739732276039,52,34,26,21
9e7b30e6,ts1739732276051,0,1,10,14
9e7b30e6,ts1739732276063,40,28,22,20
9e7b30e6,ts1739732276072,0,6,12,15
9e7b30e6,ts1739732276084,28,22,19,18
9e7b30e6,ts1739732276091,12,16,17,18
9e7b30e6,ts1739732276105,1,5,10,13
9e7b30e6,ts1739732276116,55,40,30,24
9e7b30e6,ts1739732276128,0,0,8,14
9e7b30e6,ts1739732276139,57,37,28,23
9e7b30e6,ts1739732276149,0,0,7,13
9e7b30e6,ts1739732276160,55,36,27,22
9e7b30e6,ts1739732276172,0,0,9,14
9e7b30e6,ts1739732276182,44,29,23,20
9e7b30e6,ts1739732276192,0,4,11,14
9e7b30e6,ts1739732276204,35,25,21,19
9e7b30e6,ts1739732276215,5,12,15,16
9e7b30e6,ts1739732276226,14,13,15,16
9e7b30e6,ts1739732276236,44,36,28,24
9e7b30e6,ts1739732276248,0,0,6,13
9e7b30e6,ts1739732276259,56,37,27,22
9e7b30e6,ts1739732276269,0,0,7,12
9e7b30e6,ts1739732276280,55,36,26,22
9e7b30e6,ts1739732276291,0,0,9,14
9e7b30e6,ts1739732276302,46,31,24,21
9e7b30e6,ts1739732276312,0,5,12,15
9e7b30e6,ts1739732276324,34,24,21,19
9e7b30e6,ts1739732276334,1,10,14,16
9e7b30e6,ts1739732276346,19,16,16,16
9e7b30e6,ts1739732276357,33,30,25,22
9e7b30e6,ts1739732276367,0,0,4,11
9e7b30e6,ts1739732276378,58,36,26,21
9e7b30e6,ts1739732276389,0,0,5,11
9e7b30e6,ts1739732276400,56,36,26,21
9e7b30e6,ts1739732276410,0,0,7,12
9e7b30e6,ts1739732276421,51,34,25,21
9e7b30e6,ts1739732276432,0,3,11,14
9e7b30e6,ts1739732276446,38,27,22,20
9e7b30e6,ts1739732276454,0,9,14,16
9e7b30e6,ts1739732276465,24,19,18,18
9e7b30e6,ts1739732276476,23,24,22,20
9e7b30e6,ts1739732276486,0,0,6,12
9e7b30e6,ts1739732276498,59,37,27,22
9e7b30e6,ts1739732276509,0,0,6,12
9e7b30e6,ts1739732276519,56,36,27,22
9e7b30e6,ts1739732276530,0,0,8,13
9e7b30e6,ts1739732276542,50,33,25,21
9e7b30e6,ts1739732276552,0,1,10,14
9e7b30e6,ts1739732276563,39,27,22,19
9e7b30e6,ts1739732276574,0,7,12,15
9e7b30e6,ts1739732276585,30,23,20,18
9e7b30e6,ts1739732276596,10,15,17,18
9e7b30e6,ts1739732276607,0,0,6,11
9e7b30e6,ts1739732276618,54,37,27,21
9e7b30e6,ts1739732276628,0,0,6,11
9e7b30e6,ts1739732276640,60,39,28,22
9e7b30e6,ts1739732276650,0,0,6,12
9e7b30e6,ts1739732276661,51,33,24,20
9e7b30e6,ts1739732276672,0,0,9,13
9e7b30e6,ts1739732276683,40,27,21,18
9e7b30e6,ts1739732276693,0,6,11,14
9e7b30e6,ts1739732276705,27,20,18,17
9e7b30e6,ts1739732276716,2,10,13,14
9e7b30e6,ts1739732276726,7,7,10,12
9e7b30e6,ts1739732276737,42,32,24,20
9e7b30e6,ts1739732276748,0,0,5,11
9e7b30e6,ts1739732276759,53,35,25,20
9e7b30e6,ts1739732276769,0,0,5,11
9e7b30e6,ts1739732276781,55,35,25,21
9e7b30e6,ts1739732276791,0,0,8,12
9e7b30e6,ts1739732276802,44,29,22,19
9e7b30e6,ts1739732276813,0,2,9,13
9e7b30e6,ts1739732276825,35,25,20,18
9e7b30e6,ts1739732276835,0,9,13,15
9e7b30e6,ts1739732276845,18,15,15,16
9e7b30e6,ts1739732276857,27,26,22,20
9e7b30e6,ts1739732276867,0,0,2,9
9e7b30e6,ts1739732276879,57,34,24,19
9e7b30e6,ts1739732276889,0,0,4,10
9e7b30e6,ts1739732276901,53,34,25,20
9e7b30e6,ts1739732276911,0,0,6,11
9e7b30e6,ts1739732276922,47,30,22,19
9e7b30e6,ts1739732276932,0,4,10,14
9e7b30e6,ts1739732276944,36,26,21,19
9e7b30e6,ts1739732276955,0,7,12,15
9e7b30e6,ts1739732276965,20,17,16,16
9e7b30e6,ts1739732276976,13,16,16,16
9e7b30e6,ts1739732276987,0,0,4,9
9e7b30e6,ts1739732276998,54,36,25,20
9e7b30e6,ts1739732277009,0,0,5,10
9e7b30e6,ts1739732277020,53,34,25,20
9e7b30e6,ts1739732277031,0,0,5,11
9e7b30e6,ts1739732277042,49,32,23,19
9e7b30e6,ts1739732277052,0,0,8,12
9e7b30e6,ts1739732277063,38,26,20,18
9e7b30e6,ts1739732277074,0,3,10,13
9e7b30e6,ts1739732277085,26,19,17,16
9e7b30e6,ts1739732277096,9,13,15,15
9e7b30e6,ts1739732277106,0,3,8,11
9e7b30e6,ts1739732277117,46,34,25,20
9e7b30e6,ts1739732277128,0,0,4,10
9e7b30e6,ts1739732277139,53,34,25,20
9e7b30e6,ts1739732277150,0,0,6,11
9e7b30e6,ts1739732277161,54,35,25,20
9e7b30e6,ts1739732277172,0,0,8,13
9e7b30e6,ts1739732277183,42,28,22,19
9e7b30e6,ts1739732277194,0,2,9,13
9e7b30e6,ts1739732277204,36,25,20,18
9e7b30e6,ts1739732277215,0,10,14,15
9e7b30e6,ts1739732277226,13,12,13,14
9e7b30e6,ts1739732277237,35,29,24,20
9e7b30e6,ts1739732277247,0,0,3,10
9e7b30e6,ts1739732277259,57,35,25,20
9e7b30e6,ts1739732277269,0,0,5,10
9e7b30e6,ts1739732277281,52,34,24,20
9e7b30e6,ts1739732277291,0,0,7,12
9e7b30e6,ts1739732277303,43,28,22,19
9e7b30e6,ts1739732277313,0,4,10,14
9e7b30e6,ts1739732277325,33,24,20,18
9e7b30e6,ts1739732277335,0,8,12,14
9e7b30e6,ts1739732277346,18,15,15,15
9e7b30e6,ts1739732277357,22,23,20,19
9e7b30e6,ts1739732277367,0,0,4,10
9e7b30e6,ts1739732277378,54,34,24,19
9e7b30e6,ts1739732277389,0,0,4,10
9e7b30e6,ts1739732277400,54,34,24,20
9e7b30e6,ts1739732277411,0,0,5,11
9e7b30e6,ts1739732277422,47,30,23,19
9e7b30e6,ts1739732277433,0,0,8,12
9e7b30e6,ts1739732277444,37,24,19,17
9e7b30e6,ts1739732277455,0,4,10,13
9e7b30e6,ts1739732277466,24,18,16,15
9e7b30e6,ts1739732277476,9,14,16,16
9e7b30e6,ts1739732277487,0,0,4,9
9e7b30e6,ts1739732277498,54,37,26,20
9e7b30e6,ts1739732277509,0,0,6,11
9e7b30e6,ts1739732277520,53,34,25,21
9e7b30e6,ts1739732277530,0,0,5,11
9e7b30e6,ts1739732277542,51,32,24,20
9e7b30e6,ts1739732277553,0,1,9,13
9e7b30e6,ts1739732277563,40,27,21,18
9e7b30e6,ts1739732277574,0,4,10,13
9e7b30e6,ts1739732277585,29,21,18,17
9e7b30e6,ts1739732277596,5,11,14,15
9e7b30e6,ts1739732277607,8,8,11,13
9e7b30e6,ts1739732277618,44,34,26,21
9e7b30e6,ts1739732277629,0,0,5,11
9e7b30e6,ts1739732277640,54,35,25,20
9e7b30e6,ts1739732277651,0,0,6,11
9e7b30e6,ts1739732277661,57,35,26,21
9e7b30e6,ts1739732277672,0,0,9,13
9e7b30e6,ts1739732277683,43,28,22,19
9e7b30e6,ts1739732277694,0,3,10,14
9e7b30e6,ts1739732277705,32,23,19,18
9e7b30e6,ts1739732277716,3,11,14,15
9e7b30e6,ts1739732277727,17,15,15,16
9e7b30e6,ts1739732277737,36,30,25,22
9e7b30e6,ts1739732277748,0,0,5,11
9e7b30e6,ts1739732277759,56,35,26,21
9e7b30e6,ts1739732277771,0,0,6,12
9e7b30e6,ts1739732277781,55,36,26,21
9e7b30e6,ts1739732277792,0,0,8,13
9e7b30e6,ts1739732277803,46,30,23,20
9e7b30e6,ts1739732277813,0,3,10,14
9e7b30e6,ts1739732277824,39,27,22,19
9e7b30e6,ts1739732277835,0,9,14,16
9e7b30e6,ts1739732277846,23,18,17,17
9e7b30e6,ts1739732277857,23,23,21,20
9e7b30e6,ts1739732277867,0,0,5,11
9e7b30e6,ts1739732277880,58,37,27,21
9e7b30e6,ts1739732277890,0,0,7,12
9e7b30e6,ts1739732277901,54,35,26,21
9e7b30e6,ts1739732277911,0,0,7,12
9e7b30e6,ts1739732277922,48,32,24,20
9e7b30e6,ts1739732277933,0,5,12,15
9e7b30e6,ts1739732277943,39,28,23,20
9e7b30e6,ts1739732277954,0,9,14,16
9e7b30e6,ts1739732277966,26,21,19,19
9e7b30e6,ts1739732277977,14,18,19,19
9e7b30e6,ts1739732277987,0,1,8,12
9e7b30e6,ts1739732277998,57,40,29,23
9e7b30e6,ts1739732278008,0,0,8,13
9e7b30e6,ts1739732278020,56,37,27,23
9e7b30e6,ts1739732278031,0,0,7,13
9e7b30e6,ts1739732278041,57,37,27,22
9e7b30e6,ts1739732278053,0,2,11,15
9e7b30e6,ts1739732278064,42,28,23,20
9e7b30e6,ts1739732278075,0,7,13,16
9e7b30e6,ts1739732278086,31,23,20,19
9e7b30e6,ts1739732278097,16,20,20,20
9e7b30e6,ts1739732278107,3,8,12,15
9e7b30e6,ts1739732278118,56,41,31,26
9e7b30e6,ts1739732278129,0,0,10,16
9e7b30e6,ts1739732278140,56,38,29,25
9e7b30e6,ts1739732278151,0,0,10,15
9e7b30e6,ts1739732278161,54,36,28,24
9e7b30e6,ts1739732278172,0,2,11,16
9e7b30e6,ts1739732278183,43,30,24,21
9e7b30e6,ts1739732278194,0,8,14,17
9e7b30e6,ts1739732278205,38,29,24,22
9e7b30e6,ts1739732278216,10,18,20,21
9e7b30e6,ts1739732278227,13,13,16,18
9e7b30e6,ts1739732278238,56,43,34,28
9e7b30e6,ts1739732278248,0,0,11,17
9e7b30e6,ts1739732278261,60,41,31,27
9e7b30e6,ts1739732278270,0,0,10,16
9e7b30e6,ts1739732278282,53,37,28,25
9e7b30e6,ts1739732278292,0,2,12,16
9e7b30e6,ts1739732278304,44,30,24,22
9e7b30e6,ts1739732278314,0,10,15,17
9e7b30e6,ts1739732278325,34,26,23,21
9e7b30e6,ts1739732278336,11,17,19,20
9e7b30e6,ts1739732278347,16,16,18,19
9e7b30e6,ts1739732278358,53,42,33,28
9e7b30e6,ts1739732278368,0,0,11,17
9e7b30e6,ts1739732278379,58,39,30,25
9e7b30e6,ts1739732278390,0,0,8,14
9e7b30e6,ts1739732278401,57,37,28,23
9e7b30e6,ts1739732278412,0,2,11,16
9e7b30e6,ts1739732278423,51,35,27,24
9e7b30e6,ts1739732278434,0,8,15,18
9e7b30e6,ts1739732278445,37,28,24,22
9e7b30e6,ts1739732278456,9,17,20,21
9e7b30e6,ts1739732278467,22,20,20,20
9e7b30e6,ts1739732278478,52,42,33,28
9e7b30e6,ts1739732278489,0,0,11,17
9e7b30e6,ts1739732278500,57,38,30,26
9e7b30e6,ts1739732278510,0,0,9,15
9e7b30e6,ts1739732278522,57,38,29,25
9e7b30e6,ts1739732278532,0,5,14,18
9e7b30e6,ts1739732278543,47,34,28,25
9e7b30e6,ts1739732278554,0,7,15,18
9e7b30e6,ts1739732278565,36,27,24,22
9e7b30e6,ts1739732278576,7,15,19,21
9e7b30e6,ts1739732278587,28,24,22,22
9e7b30e6,ts1739732278598,38,35,30,27
9e7b30e6,ts1739732278608,0,0,9,15
9e7b30e6,ts1739732278622,59,38,29,24
9e7b30e6,ts1739732278630,0,0,8,14
9e7b30e6,ts1739732278642,60,40,30,24
9e7b30e6,ts1739732278651,0,0,10,15
9e7b30e6,ts1739732278663,47,32,25,22
9e7b30e6,ts1739732278674,0,5,12,16
9e7b30e6,ts1739732278685,38,27,23,21
9e7b30e6,ts1739732278695,7,15,18,19
9e7b30e6,ts1739732278706,25,22,20,20
9e7b30e6,ts1739732278717,25,27,25,23
9e7b30e6,ts1739732278728,0,0,8,14
9e7b30e6,ts1739732278739,61,40,30,24
9e7b30e6,ts1739732278750,0,0,10,15
9e7b30e6,ts1739732278761,56,38,29,25
9e7b30e6,ts1739732278771,0,0,8,14
9e7b30e6,ts1739732278783,51,33,25,21
9e7b30e6,ts1739732278793,0,3,11,15
9e7b30e6,ts1739732278805,45,31,25,21
9e7b30e6,ts1739732278815,0,10,15,17
9e7b30e6,ts1739732278826,27,21,20,19
9e7b30e6,ts1739732278837,16,19,20,20
9e7b30e6,ts1739732278848,0,0,8,13
9e7b30e6,ts1739732278858,64,42,30,24
9e7b30e6,ts1739732278870,0,0,8,14
