Person_ID,Timestamp,CH1,CH2,CH3,CH4
2134aaa2,ts1739731336839,48,32,29,28
2134aaa2,ts1739731336840,0,0,9,16
2134aaa2,ts1739731336841,32,23,22,23
2134aaa2,ts1739731336841,0,0,8,14
2134aaa2,ts1739731336842,16,10,11,13
2134aaa2,ts1739731336842,0,0,5,9
2134aaa2,ts1739731336844,1,1,4,7
2134aaa2,ts1739731336845,6,6,7,8
2134aaa2,ts1739731336845,0,0,0,3
2134aaa2,ts1739731336846,40,26,17,13
2134aaa2,ts1739731336847,0,0,1,6
2134aaa2,ts1739731336847,55,35,24,18
2134aaa2,ts1739731336848,0,0,7,11
2134aaa2,ts1739731336849,54,36,27,21
2134aaa2,ts1739731336849,0,4,11,15
2134aaa2,ts1739731336850,47,32,25,22
2134aaa2,ts1739731336850,3,14,17,19
2134aaa2,ts1739731336851,37,29,25,23
2134aaa2,ts1739731336851,24,27,26,25
2134aaa2,ts1739731336852,19,21,23,23
2134aaa2,ts1739731336853,61,49,39,33
2134aaa2,ts1739731336854,0,10,19,24
2134aaa2,ts1739731336855,61,45,37,32
2134aaa2,ts1739731336855,0,9,18,24
2134aaa2,ts1739731336856,57,43,35,31
2134aaa2,ts1739731336856,0,14,21,25
2134aaa2,ts1739731336857,50,39,33,30
2134aaa2,ts1739731336858,32,35,33,32
2134aaa2,ts1739731336859,52,46,40,37
2134aaa2,ts1739731336859,65,59,50,45
2134aaa2,ts1739731336861,49,52,50,47
2134aaa2,ts1739731336861,70,65,58,53
2134aaa2,ts1739731336862,32,42,46,47
2134aaa2,ts1739731336862,67,57,50,45
2134aaa2,ts1739731336863,33,37,38,34
2134aaa2,ts1739731336863,66,55,48,41
2134aaa2,ts1739731336865,46,48,46,43
2134aaa2,ts1739731336866,61,56,50,46
2134aaa2,ts1739731336866,63,60,56,52
2134aaa2,ts1739731336867,56,57,55,52
2134aaa2,ts1739731336868,70,66,61,57
2134aaa2,ts1739731336868,39,47,50,51
2134aaa2,ts1739731336869,75,66,61,58
2134aaa2,ts1739731336869,13,31,41,46
2134aaa2,ts1739731336871,68,56,51,48
2134aaa2,ts1739731336872,11,26,34,39
2134aaa2,ts1739731336872,66,52,46,43
2134aaa2,ts1739731336873,20,31,36,38
2134aaa2,ts1739731336874,57,48,44,42
2134aaa2,ts1739731336875,21,30,35,37
2134aaa2,ts1739731336875,44,38,37,37
2134aaa2,ts1739731336877,32,34,35,35
2134aaa2,ts1739731336877,22,25,30,33
2134aaa2,ts1739731336878,59,50,43,39
2134aaa2,ts1739731336878,0,8,20,27
2134aaa2,ts1739731336879,64,45,37,33
2134aaa2,ts1739731336879,0,2,14,22
2134aaa2,ts1739731336880,60,40,33,29
2134aaa2,ts1739731336881,0,0,12,18
2134aaa2,ts1739731336881,37,25,22,21
2134aaa2,ts1739731336883,0,0,7,13
2134aaa2,ts1739731336883,11,7,9,11
2134aaa2,ts1739731336884,0,0,3,6
2134aaa2,ts1739731336884,0,0,0,2
2134aaa2,ts1739731336885,2,2,3,4
2134aaa2,ts1739731336886,0,0,0,0
2134aaa2,ts1739731336886,32,18,10,7
2134aaa2,ts1739731336887,0,0,0,1
2134aaa2,ts1739731336887,46,27,17,11
2134aaa2,ts1739731336888,0,0,0,3
2134aaa2,ts1739731336889,46,27,18,13
2134aaa2,ts1739731336889,0,0,3,6
2134aaa2,ts1739731336890,40,26,19,14
2134aaa2,ts1739731336891,0,5,9,11
2134aaa2,ts1739731336892,29,21,17,15
2134aaa2,ts1739731336892,9,13,15,14
2134aaa2,ts1739731336893,11,10,12,13
2134aaa2,ts1739731336894,49,37,28,22
2134aaa2,ts1739731336895,0,2,10,14
2134aaa2,ts1739731336895,61,42,31,25
2134aaa2,ts1739731336896,0,1,10,15
