Person_ID,Timestamp,CH1,CH2,CH3,CH4
b2467bf2,ts1739732325098,37,98,114,149
b2467bf2,ts1739732325098,17,45,71,102
b2467bf2,ts1739732325100,60,56,66,83
b2467bf2,ts1739732325100,0,8,33,54
b2467bf2,ts1739732325101,62,44,45,51
b2467bf2,ts1739732325101,0,0,19,33
b2467bf2,ts1739732325102,50,34,33,35
b2467bf2,ts1739732325103,0,1,15,24
b2467bf2,ts1739732325103,36,26,25,26
b2467bf2,ts1739732325104,0,4,14,19
b2467bf2,ts1739732325105,17,13,16,19
b2467bf2,ts1739732325105,0,0,8,13
b2467bf2,ts1739732325105,11,6,9,12
b2467bf2,ts1739732325107,45,34,26,22
b2467bf2,ts1739732325107,0,3,11,16
b2467bf2,ts1739732325108,56,39,31,26
b2467bf2,ts1739732325108,0,7,15,19
b2467bf2,ts1739732325109,63,45,35,30
b2467bf2,ts1739732325110,32,37,36,33
b2467bf2,ts1739732325110,58,52,46,41
b2467bf2,ts1739732325111,14,28,34,36
b2467bf2,ts1739732325119,36,34,35,36
b2467bf2,ts1739732325130,0,11,21,27
b2467bf2,ts1739732325140,0,0,0,11
b2467bf2,ts1739732325151,26,16,13,14
b2467bf2,ts1739732325162,0,0,0,5
b2467bf2,ts1739732325173,36,21,15,12
b2467bf2,ts1739732325184,0,0,0,5
b2467bf2,ts1739732325194,40,24,17,14
b2467bf2,ts1739732325205,0,0,3,7
b2467bf2,ts1739732325217,33,21,16,14
b2467bf2,ts1739732325227,0,0,5,9
b2467bf2,ts1739732325238,27,18,15,14
b2467bf2,ts1739732325248,0,1,7,10
b2467bf2,ts1739732325260,16,12,12,12
b2467bf2,ts1739732325270,11,13,14,13
b2467bf2,ts1739732325281,0,0,0,6
b2467bf2,ts1739732325293,45,28,19,15
b2467bf2,ts1739732325304,0,0,2,7
b2467bf2,ts1739732325314,49,31,22,17
b2467bf2,ts1739732325324,0,0,5,10
b2467bf2,ts1739732325336,49,32,23,19
b2467bf2,ts1739732325346,0,2,9,13
b2467bf2,ts1739732325358,42,29,23,20
b2467bf2,ts1739732325368,0,7,13,16
b2467bf2,ts1739732325379,32,25,21,20
b2467bf2,ts1739732325390,14,19,20,20
b2467bf2,ts1739732325400,2,7,13,16
b2467bf2,ts1739732325412,58,41,31,26
b2467bf2,ts1739732325423,0,4,14,18
b2467bf2,ts1739732325434,57,40,32,27
b2467bf2,ts1739732325444,0,3,13,18
b2467bf2,ts1739732325456,54,37,30,26
b2467bf2,ts1739732325466,0,6,14,18
b2467bf2,ts1739732325478,44,32,27,24
b2467bf2,ts1739732325487,0,9,15,19
b2467bf2,ts1739732325499,37,26,24,22
b2467bf2,ts1739732325509,6,14,18,20
b2467bf2,ts1739732325520,3,7,12,15
b2467bf2,ts1739732325531,45,34,27,23
b2467bf2,ts1739732325542,0,0,7,13
b2467bf2,ts1739732325553,55,35,26,22
b2467bf2,ts1739732325564,0,0,7,13
b2467bf2,ts1739732325575,51,33,25,21
b2467bf2,ts1739732325585,0,0,9,14
b2467bf2,ts1739732325597,41,28,22,20
b2467bf2,ts1739732325608,0,5,11,15
b2467bf2,ts1739732325619,30,22,19,18
b2467bf2,ts1739732325629,0,8,13,15
b2467bf2,ts1739732325640,12,11,12,14
b2467bf2,ts1739732325651,35,29,23,20
b2467bf2,ts1739732325662,0,0,5,11
b2467bf2,ts1739732325672,51,33,25,20
b2467bf2,ts1739732325683,0,0,6,11
b2467bf2,ts1739732325695,54,35,25,21
b2467bf2,ts1739732325705,0,0,9,13
b2467bf2,ts1739732325717,50,33,25,21
b2467bf2,ts1739732325728,0,4,12,15
b2467bf2,ts1739732325738,35,26,22,20
b2467bf2,ts1739732325749,0,9,14,16
b2467bf2,ts1739732325760,21,17,17,17
b2467bf2,ts1739732325772,31,28,24,22
b2467bf2,ts1739732325782,0,0,6,12
b2467bf2,ts1739732325793,53,34,25,21
b2467bf2,ts1739732325804,0,0,6,12
b2467bf2,ts1739732325815,53,35,26,21
b2467bf2,ts1739732325825,0,1,9,14
b2467bf2,ts1739732325836,47,32,25,21
b2467bf2,ts1739732325847,0,4,12,15
b2467bf2,ts1739732325858,39,28,23,21
b2467bf2,ts1739732325869,0,12,16,18
b2467bf2,ts1739732325879,32,26,23,21
b2467bf2,ts1739732325891,21,25,24,23
b2467bf2,ts1739732325901,0,1,10,15
b2467bf2,ts1739732325912,59,40,30,25
b2467bf2,ts1739732325923,0,0,10,16
b2467bf2,ts1739732325935,61,42,31,26
b2467bf2,ts1739732325944,0,1,11,17
b2467bf2,ts1739732325956,49,33,26,24
b2467bf2,ts1739732325967,0,5,13,17
b2467bf2,ts1739732325978,41,29,24,22
b2467bf2,ts1739732325989,6,15,18,20
b2467bf2,ts1739732326000,30,26,23,22
b2467bf2,ts1739732326011,19,23,23,23
b2467bf2,ts1739732326021,0,3,11,16
b2467bf2,ts1739732326032,59,40,30,25
b2467bf2,ts1739732326043,0,2,12,16
b2467bf2,ts1739732326054,54,37,29,25
b2467bf2,ts1739732326064,0,0,9,15
b2467bf2,ts1739732326076,50,33,25,22
b2467bf2,ts1739732326087,0,2,10,15
b2467bf2,ts1739732326098,40,31,24,21
b2467bf2,ts1739732326108,0,7,13,16
b2467bf2,ts1739732326119,29,22,20,19
b2467bf2,ts1739732326130,9,15,17,18
b2467bf2,ts1739732326141,1,5,10,14
b2467bf2,ts1739732326152,54,43,32,25
b2467bf2,ts1739732326163,0,0,11,16
b2467bf2,ts1739732326174,54,37,29,25
b2467bf2,ts1739732326185,0,0,10,15
b2467bf2,ts1739732326196,54,37,28,24
b2467bf2,ts1739732326206,0,12,17,20
b2467bf2,ts1739732326218,47,35,29,26
b2467bf2,ts1739732326229,8,18,22,23
b2467bf2,ts1739732326239,39,32,29,27
b2467bf2,ts1739732326250,28,30,29,28
b2467bf2,ts1739732326261,18,21,24,25
b2467bf2,ts1739732326272,64,51,41,35
b2467bf2,ts1739732326283,0,7,19,24
b2467bf2,ts1739732326293,58,42,35,32
b2467bf2,ts1739732326305,0,0,13,20
b2467bf2,ts1739732326315,60,41,32,28
b2467bf2,ts1739732326326,0,4,14,19
b2467bf2,ts1739732326337,41,30,25,24
b2467bf2,ts1739732326348,0,6,13,17
b2467bf2,ts1739732326360,29,22,20,19
b2467bf2,ts1739732326370,11,15,18,19
b2467bf2,ts1739732326381,5,7,12,15
b2467bf2,ts1739732326391,45,35,27,23
b2467bf2,ts1739732326403,0,0,6,12
b2467bf2,ts1739732326413,50,33,24,21
b2467bf2,ts1739732326424,0,0,7,13
b2467bf2,ts1739732326436,50,33,25,21
b2467bf2,ts1739732326446,0,0,7,13
b2467bf2,ts1739732326458,35,22,19,17
b2467bf2,ts1739732326467,0,0,6,11
b2467bf2,ts1739732326479,17,11,11,12
b2467bf2,ts1739732326489,0,0,4,8
b2467bf2,ts1739732326500,0,0,1,5
b2467bf2,ts1739732326510,5,6,6,7
b2467bf2,ts1739732326521,0,0,0,0
b2467bf2,ts1739732326532,35,20,11,7
b2467bf2,ts1739732326543,0,0,0,1
b2467bf2,ts1739732326555,41,23,15,10
b2467bf2,ts1739732326565,0,0,0,3
b2467bf2,ts1739732326577,34,19,13,10
b2467bf2,ts1739732326586,0,0,1,4
b2467bf2,ts1739732326598,24,15,11,10
b2467bf2,ts1739732326608,0,0,4,7
b2467bf2,ts1739732326619,12,9,8,8
b2467bf2,ts1739732326630,0,0,4,6
b2467bf2,ts1739732326640,0,0,2,4
b2467bf2,ts1739732326651,20,16,12,10
b2467bf2,ts1739732326662,0,0,0,1
b2467bf2,ts1739732326673,40,23,14,10
b2467bf2,ts1739732326684,0,0,0,3
b2467bf2,ts1739732326695,44,28,19,14
b2467bf2,ts1739732326706,0,0,2,7
b2467bf2,ts1739732326716,39,24,17,13
b2467bf2,ts1739732326727,0,0,5,8
b2467bf2,ts1739732326739,33,23,17,14
b2467bf2,ts1739732326749,0,3,8,11
b2467bf2,ts1739732326760,20,14,13,13
b2467bf2,ts1739732326770,3,9,11,12
b2467bf2,ts1739732326781,0,0,0,5
b2467bf2,ts1739732326792,48,30,20,15
b2467bf2,ts1739732326803,0,0,1,6
b2467bf2,ts1739732326814,45,29,20,16
b2467bf2,ts1739732326825,0,0,2,8
b2467bf2,ts1739732326835,47,30,21,16
b2467bf2,ts1739732326846,0,1,8,11
b2467bf2,ts1739732326858,36,25,19,16
b2467bf2,ts1739732326868,0,1,8,11
b2467bf2,ts1739732326879,26,19,16,15
b2467bf2,ts1739732326890,0,7,11,13
b2467bf2,ts1739732326901,14,11,11,13
b2467bf2,ts1739732326912,36,30,23,19
b2467bf2,ts1739732326922,0,0,4,10
b2467bf2,ts1739732326934,49,31,22,18
b2467bf2,ts1739732326945,0,0,4,9
b2467bf2,ts1739732326956,51,35,25,20
b2467bf2,ts1739732326966,0,0,8,12
b2467bf2,ts1739732326977,42,28,21,18
b2467bf2,ts1739732326988,0,1,8,12
b2467bf2,ts1739732326999,34,24,19,16
b2467bf2,ts1739732327010,0,9,13,14
b2467bf2,ts1739732327021,21,17,16,16
b2467bf2,ts1739732327031,27,26,22,20
b2467bf2,ts1739732327042,0,0,5,11
b2467bf2,ts1739732327053,53,34,25,20
b2467bf2,ts1739732327063,0,0,7,12
b2467bf2,ts1739732327074,53,35,26,21
b2467bf2,ts1739732327086,0,0,7,13
b2467bf2,ts1739732327097,47,31,24,20
b2467bf2,ts1739732327108,0,3,10,14
b2467bf2,ts1739732327119,38,27,22,19
b2467bf2,ts1739732327130,0,9,13,16
b2467bf2,ts1739732327140,29,22,20,18
b2467bf2,ts1739732327152,17,22,21,20
b2467bf2,ts1739732327162,0,0,8,13
b2467bf2,ts1739732327173,56,37,27,22
b2467bf2,ts1739732327183,0,0,9,14
b2467bf2,ts1739732327195,55,37,28,23
b2467bf2,ts1739732327206,0,0,9,14
b2467bf2,ts1739732327216,49,32,25,21
b2467bf2,ts1739732327227,0,3,11,14
b2467bf2,ts1739732327238,41,28,23,20
b2467bf2,ts1739732327249,0,9,14,16
b2467bf2,ts1739732327260,29,23,20,19
b2467bf2,ts1739732327271,11,16,18,18
b2467bf2,ts1739732327281,0,3,9,13
b2467bf2,ts1739732327293,56,38,28,23
b2467bf2,ts1739732327304,0,0,10,15
b2467bf2,ts1739732327314,54,38,28,24
b2467bf2,ts1739732327325,0,0,9,14
b2467bf2,ts1739732327336,54,35,27,23
b2467bf2,ts1739732327347,0,3,12,16
b2467bf2,ts1739732327358,45,32,25,22
b2467bf2,ts1739732327368,0,8,14,17
b2467bf2,ts1739732327379,33,26,22,21
b2467bf2,ts1739732327390,9,16,18,19
b2467bf2,ts1739732327401,11,11,15,16
b2467bf2,ts1739732327412,54,43,33,27
b2467bf2,ts1739732327423,0,2,13,18
b2467bf2,ts1739732327434,56,39,31,26
b2467bf2,ts1739732327444,0,0,11,16
b2467bf2,ts1739732327455,55,37,28,24
b2467bf2,ts1739732327466,0,6,14,17
b2467bf2,ts1739732327478,44,32,26,23
b2467bf2,ts1739732327488,0,8,15,18
b2467bf2,ts1739732327499,36,27,23,22
b2467bf2,ts1739732327510,10,16,19,20
b2467bf2,ts1739732327522,19,17,18,19
b2467bf2,ts1739732327532,52,42,33,28
b2467bf2,ts1739732327543,0,2,13,18
b2467bf2,ts1739732327554,57,40,31,27
b2467bf2,ts1739732327565,0,0,11,17
b2467bf2,ts1739732327575,56,38,29,25
b2467bf2,ts1739732327586,0,4,13,17
b2467bf2,ts1739732327598,44,31,25,23
b2467bf2,ts1739732327608,0,8,14,17
b2467bf2,ts1739732327619,37,27,23,21
b2467bf2,ts1739732327630,9,17,19,20
b2467bf2,ts1739732327641,21,19,20,20
b2467bf2,ts1739732327652,47,39,32,28
b2467bf2,ts1739732327662,0,0,11,17
b2467bf2,ts1739732327674,58,38,30,26
b2467bf2,ts1739732327685,0,1,11,17
b2467bf2,ts1739732327695,57,38,30,25
b2467bf2,ts1739732327707,0,2,12,17
b2467bf2,ts1739732327718,46,32,26,23
b2467bf2,ts1739732327728,0,6,13,17
b2467bf2,ts1739732327739,40,29,24,22
b2467bf2,ts1739732327750,4,14,18,19
