CH1,CH2,CH3,CH4,Label
94,138,161,191,focus
0,30,86,129,focus
94,60,59,82,focus
16,52,66,80,focus
0,0,0,23,focus
101,67,51,47,focus
0,0,0,13,focus
97,62,42,34,focus
0,0,5,15,focus
94,56,36,27,focus
0,0,10,19,focus
87,49,29,22,focus
0,0,16,23,focus
85,46,24,18,focus
0,7,25,28,focus
0,0,0,0,focus
98,68,46,32,focus
0,0,0,4,focus
96,64,45,33,focus
0,0,3,12,focus
93,57,38,28,focus
0,0,8,17,focus
93,52,30,23,focus
0,0,13,21,focus
85,46,24,19,focus
0,0,16,23,focus
51,14,3,5,focus
100,82,64,47,focus
0,0,2,13,focus
98,67,52,41,focus
0,0,3,15,focus
94,59,40,32,focus
0,0,7,17,focus
90,53,32,25,focus
0,0,13,21,focus
86,48,26,20,focus
0,0,15,22,focus
78,41,20,15,focus
70,81,70,55,focus
0,0,3,16,focus
97,68,54,45,focus
0,0,2,15,focus
95,60,43,34,focus
0,0,7,17,focus
90,55,35,27,focus
0,0,12,20,focus
86,49,28,21,focus
0,0,16,23,focus
83,46,24,19,focus
0,30,41,38,focus
0,0,0,0,focus
98,67,47,35,focus
0,0,0,7,focus
96,62,43,32,focus
0,0,4,13,focus
93,56,36,28,focus
0,0,9,18,focus
89,51,29,22,focus
0,0,15,22,focus
83,47,25,19,focus
0,0,18,24,focus
0,0,0,0,focus
98,69,48,33,focus
0,0,0,3,focus
96,65,46,34,focus
0,0,1,11,focus
92,57,38,28,focus
0,0,6,15,focus
93,52,30,22,focus
0,0,11,18,focus
84,47,24,18,focus
0,0,14,20,focus
74,36,17,13,focus
93,88,72,55,focus
0,0,6,18,focus
98,69,56,46,focus
0,0,4,17,focus
93,59,41,34,focus
0,0,6,17,focus
93,54,33,25,focus
0,0,10,18,focus
84,48,26,19,focus
0,0,14,20,focus
81,44,22,16,focus
20,50,51,43,focus
0,0,0,5,focus
97,66,49,38,focus
0,0,3,14,focus
95,62,45,36,focus
0,0,8,18,focus
92,55,37,29,focus
0,0,10,20,focus
89,50,29,22,focus
0,0,15,22,focus
83,46,25,19,focus
0,7,25,28,focus
0,0,0,0,focus
97,66,44,30,focus
0,0,0,4,focus
95,63,44,32,focus
0,0,3,12,focus
89,56,37,28,focus
0,0,7,16,focus
89,51,30,22,focus
0,0,12,20,focus
81,45,24,19,focus
0,0,14,21,focus
47,12,2,4,focus
97,79,60,44,focus
0,0,2,12,focus
98,66,50,39,focus
0,0,3,14,focus
90,57,39,31,focus
0,0,6,16,focus
91,53,32,24,focus
0,0,11,18,focus
83,47,25,19,focus
0,0,13,20,focus
78,41,21,15,focus
60,72,63,50,focus
0,0,0,13,focus
97,66,50,41,focus
0,0,1,13,focus
95,59,40,32,focus
0,0,5,15,focus
88,54,33,25,focus
0,0,9,18,focus
85,48,27,20,focus
0,0,13,20,focus
81,46,24,18,focus
0,20,33,32,focus
0,0,0,0,focus
96,65,44,31,focus
0,0,0,5,focus
94,61,42,31,focus
