Person_ID,Timestamp,CH1,CH2,CH3,CH4
41b4492c,ts1739730642926,70,121,136,167
41b4492c,ts1739730642928,14,51,80,114
41b4492c,ts1739730642929,44,46,60,83
41b4492c,ts1739730642929,25,31,43,61
41b4492c,ts1739730642930,11,17,28,43
41b4492c,ts1739730642930,59,48,42,44
41b4492c,ts1739730642930,0,0,12,25
41b4492c,ts1739730642936,62,40,31,31
41b4492c,ts1739730642936,0,0,9,18
41b4492c,ts1739730642936,60,38,29,26
41b4492c,ts1739730642936,0,0,12,18
41b4492c,ts1739730642940,46,31,25,24
41b4492c,ts1739730642940,0,9,16,19
41b4492c,ts1739730642942,32,25,23,22
41b4492c,ts1739730642942,21,24,24,24
41b4492c,ts1739730642943,13,17,20,22
41b4492c,ts1739730642943,62,49,39,33
41b4492c,ts1739730642944,0,0,10,19
41b4492c,ts1739730642944,61,40,30,27
41b4492c,ts1739730642946,0,0,9,16
41b4492c,ts1739730642948,61,40,30,25
41b4492c,ts1739730642948,0,0,11,17
41b4492c,ts1739730642949,45,31,25,23
41b4492c,ts1739730642950,0,11,17,19
41b4492c,ts1739730642950,32,25,23,22
41b4492c,ts1739730642951,23,25,25,24
41b4492c,ts1739730642952,4,11,17,20
41b4492c,ts1739730642952,56,43,34,29
41b4492c,ts1739730642953,0,0,6,15
41b4492c,ts1739730642954,61,38,28,24
41b4492c,ts1739730642954,0,0,7,14
41b4492c,ts1739730642954,57,37,27,23
41b4492c,ts1739730642956,0,0,8,14
41b4492c,ts1739730642957,43,27,21,19
41b4492c,ts1739730642957,0,3,10,14
41b4492c,ts1739730642958,27,19,17,17
41b4492c,ts1739730642958,9,14,16,17
41b4492c,ts1739730642960,0,4,9,13
41b4492c,ts1739730642961,39,30,24,20
41b4492c,ts1739730642961,0,0,0,8
41b4492c,ts1739730642962,60,39,25,20
41b4492c,ts1739730642962,0,0,5,10
41b4492c,ts1739730642964,55,35,25,20
41b4492c,ts1739730642964,0,0,6,11
41b4492c,ts1739730642964,44,27,20,18
41b4492c,ts1739730642966,0,1,9,13
41b4492c,ts1739730642966,22,15,14,14
41b4492c,ts1739730642967,3,8,11,13
41b4492c,ts1739730642967,0,0,4,8
41b4492c,ts1739730642967,22,16,13,12
41b4492c,ts1739730642970,0,0,0,1
41b4492c,ts1739730642970,63,38,23,15
41b4492c,ts1739730642971,0,0,3,7
41b4492c,ts1739730642971,57,35,24,18
41b4492c,ts1739730642971,0,0,4,9
41b4492c,ts1739730642973,51,32,23,19
41b4492c,ts1739730642973,0,1,9,12
41b4492c,ts1739730642973,35,23,19,17
41b4492c,ts1739730642975,0,8,13,15
41b4492c,ts1739730642975,9,9,11,13
41b4492c,ts1739730642975,21,19,16,16
41b4492c,ts1739730642975,0,0,0,6
41b4492c,ts1739730642978,64,41,26,19
41b4492c,ts1739730642979,0,0,4,10
41b4492c,ts1739730642979,57,36,25,20
41b4492c,ts1739730642980,0,0,4,10
41b4492c,ts1739730642980,54,33,23,19
41b4492c,ts1739730642981,0,2,10,13
41b4492c,ts1739730642981,35,24,19,18
41b4492c,ts1739730642982,0,7,13,15
41b4492c,ts1739730642983,12,11,12,14
41b4492c,ts1739730642983,21,20,17,17
41b4492c,ts1739730642985,0,0,4,9
41b4492c,ts1739730642985,63,42,29,22
41b4492c,ts1739730642986,0,0,5,11
41b4492c,ts1739730642986,59,37,26,21
41b4492c,ts1739730642986,0,0,5,11
41b4492c,ts1739730642988,60,37,26,21
41b4492c,ts1739730642988,0,0,10,14
41b4492c,ts1739730642989,37,24,20,18
41b4492c,ts1739730642991,0,7,12,15
41b4492c,ts1739730642992,18,14,14,15
41b4492c,ts1739730642992,23,21,19,18
41b4492c,ts1739730642993,0,0,6,11
41b4492c,ts1739730642994,62,43,30,23
41b4492c,ts1739730642994,0,0,5,12
41b4492c,ts1739730642995,60,37,26,22
41b4492c,ts1739730642996,0,0,7,12
41b4492c,ts1739730642996,57,36,26,22
41b4492c,ts1739730642997,0,0,9,13
41b4492c,ts1739730642999,40,26,20,18
41b4492c,ts1739730642999,0,6,12,14
41b4492c,ts1739730642999,20,16,15,15
