CH1,CH2,CH3,CH4,Label
0,57,123,185,left
96,68,75,113,left
8,42,63,90,left
0,0,0,28,left
102,65,47,46,left
0,0,0,14,left
98,61,40,32,left
0,0,5,15,left
94,56,35,26,left
0,0,9,18,left
89,50,29,21,left
0,0,13,20,left
83,47,25,18,left
0,0,17,22,left
0,0,0,0,left
98,67,43,29,left
0,0,0,4,left
97,63,43,31,left
0,0,3,12,left
94,56,37,27,left
0,0,8,16,left
88,52,31,23,left
0,0,12,20,left
83,47,26,19,left
0,0,14,21,left
73,36,18,14,left
102,88,70,53,left
0,0,9,20,left
100,67,52,44,left
0,0,5,18,left
94,58,39,32,left
0,0,7,18,left
93,53,32,24,left
0,0,12,20,left
86,47,25,19,left
0,0,15,21,left
81,43,22,16,left
53,72,64,51,left
0,0,0,13,left
100,67,52,42,left
0,0,2,14,left
96,60,42,33,left
0,0,9,18,left
94,55,36,29,left
0,0,15,24,left
86,49,29,23,left
0,0,19,26,left
82,45,25,20,left
0,19,36,37,left
0,0,0,0,left
98,69,50,37,left
0,0,0,7,left
96,63,46,32,left
0,0,4,13,left
93,56,38,28,left
0,0,11,19,left
91,51,30,23,left
0,0,20,25,left
85,46,26,22,left
0,0,23,28,left
0,0,0,0,left
100,73,56,38,left
0,0,0,9,left
98,71,58,44,left
0,0,7,20,left
94,60,44,36,left
0,0,8,19,left
90,50,30,22,left
0,0,13,20,left
85,46,23,18,left
0,0,19,24,left
79,37,15,13,left
97,91,77,57,left
0,0,2,17,left
101,71,59,48,left
0,0,3,18,left
94,62,46,38,left
0,0,4,19,left
92,53,27,25,left
0,0,5,17,left
88,47,22,16,left
0,0,14,20,left
83,43,17,11,left
18,52,53,44,left
0,0,0,0,left
98,68,49,36,left
0,0,0,2,left
95,62,41,29,left
0,0,0,8,left
92,55,33,22,left
0,0,5,13,left
91,48,23,15,left
0,0,12,18,left
82,43,18,12,left
0,0,19,22,left
0,0,0,0,left
98,72,50,33,left
0,0,0,0,left
99,67,48,34,left
0,0,0,8,left
94,58,39,28,left
0,0,5,13,left
89,52,30,21,left
0,0,12,19,left
87,45,22,16,left
