Person_ID,Timestamp,CH1,CH2,CH3,CH4
19fb23ea,ts1739732362839,67,119,129,162
19fb23ea,ts1739732362840,17,54,82,114
19fb23ea,ts1739732362840,54,57,70,90
19fb23ea,ts1739732362841,22,34,51,68
19fb23ea,ts1739732362842,33,32,43,54
19fb23ea,ts1739732362843,58,51,51,54
19fb23ea,ts1739732362843,0,9,27,38
19fb23ea,ts1739732362844,52,39,38,40
19fb23ea,ts1739732362845,0,0,16,26
19fb23ea,ts1739732362846,42,29,27,28
19fb23ea,ts1739732362846,0,0,11,18
19fb23ea,ts1739732362847,20,13,16,18
19fb23ea,ts1739732362848,0,0,3,10
19fb23ea,ts1739732362848,0,0,0,5
19fb23ea,ts1739732362849,0,0,0,0
19fb23ea,ts1739732362849,0,0,0,0
19fb23ea,ts1739732362849,0,0,0,0
19fb23ea,ts1739732362851,0,0,0,0
19fb23ea,ts1739732362851,3,0,0,0
19fb23ea,ts1739732362853,0,0,0,0
19fb23ea,ts1739732362854,0,0,0,0
19fb23ea,ts1739732362854,0,0,0,0
19fb23ea,ts1739732362855,0,0,0,0
19fb23ea,ts1739732362855,0,0,0,0
19fb23ea,ts1739732362855,0,0,0,0
19fb23ea,ts1739732362856,0,0,0,0
19fb23ea,ts1739732362856,0,0,0,0
19fb23ea,ts1739732362856,0,0,0,0
19fb23ea,ts1739732362858,0,0,0,0
19fb23ea,ts1739732362858,0,0,0,0
19fb23ea,ts1739732362859,0,0,0,0
19fb23ea,ts1739732362860,0,0,0,0
19fb23ea,ts1739732362860,0,0,0,0
19fb23ea,ts1739732362861,0,0,0,0
19fb23ea,ts1739732362861,0,0,0,0
19fb23ea,ts1739732362862,0,0,0,0
19fb23ea,ts1739732362863,0,0,0,0
19fb23ea,ts1739732362863,0,0,0,0
19fb23ea,ts1739732362864,0,0,0,0
19fb23ea,ts1739732362864,0,0,0,0
19fb23ea,ts1739732362865,0,0,0,0
19fb23ea,ts1739732362865,0,0,0,0
19fb23ea,ts1739732362866,0,0,0,0
19fb23ea,ts1739732362866,0,0,0,0
19fb23ea,ts1739732362868,0,0,0,0
19fb23ea,ts1739732362868,0,0,0,0
19fb23ea,ts1739732362869,0,0,0,0
19fb23ea,ts1739732362869,0,0,0,0
19fb23ea,ts1739732362871,0,0,0,0
19fb23ea,ts1739732362871,0,0,0,0
19fb23ea,ts1739732362872,5,0,0,0
19fb23ea,ts1739732362872,0,0,0,0
19fb23ea,ts1739732362873,11,4,1,0
19fb23ea,ts1739732362874,0,0,0,0
19fb23ea,ts1739732362875,19,12,7,5
19fb23ea,ts1739732362876,0,0,2,3
19fb23ea,ts1739732362877,21,14,10,8
19fb23ea,ts1739732362877,22,21,17,14
19fb23ea,ts1739732362878,0,1,7,10
19fb23ea,ts1739732362879,55,37,26,21
19fb23ea,ts1739732362880,0,6,12,15
19fb23ea,ts1739732362880,57,40,31,25
19fb23ea,ts1739732362881,0,2,12,17
19fb23ea,ts1739732362882,47,33,26,23
19fb23ea,ts1739732362882,0,3,12,16
19fb23ea,ts1739732362883,41,29,23,21
19fb23ea,ts1739732362883,0,7,13,16
19fb23ea,ts1739732362885,30,23,20,19
19fb23ea,ts1739732362885,10,17,19,19
19fb23ea,ts1739732362886,0,0,7,12
19fb23ea,ts1739732362886,42,29,22,19
19fb23ea,ts1739732362887,0,0,5,11
19fb23ea,ts1739732362889,43,27,21,18
19fb23ea,ts1739732362889,0,0,4,10
19fb23ea,ts1739732362890,41,25,19,16
19fb23ea,ts1739732362891,0,0,5,10
19fb23ea,ts1739732362891,34,23,17,15
19fb23ea,ts1739732362892,0,1,7,11
19fb23ea,ts1739732362893,26,19,16,15
19fb23ea,ts1739732362893,0,6,10,12
19fb23ea,ts1739732362894,0,1,5,8
19fb23ea,ts1739732362896,30,22,17,14
19fb23ea,ts1739732362897,0,0,1,7
19fb23ea,ts1739732362899,47,29,20,16
19fb23ea,ts1739732362899,0,0,6,10
19fb23ea,ts1739732362900,53,35,25,20
19fb23ea,ts1739732362901,0,2,10,13
19fb23ea,ts1739732362902,44,30,24,21
