CH1,CH2,CH3,CH4,Label
95,138,162,195,relax
0,18,72,119,relax
95,62,61,82,relax
0,0,20,48,relax
67,29,21,30,relax
102,79,58,48,relax
0,0,10,22,relax
101,64,45,37,relax
0,0,4,16,relax
93,58,38,30,relax
0,0,4,14,relax
93,56,35,26,relax
0,0,7,16,relax
87,52,31,23,relax
0,0,7,15,relax
81,45,26,19,relax
84,83,65,50,relax
0,0,12,22,relax
100,65,49,41,relax
0,0,6,18,relax
98,59,40,32,relax
0,0,4,14,relax
94,56,35,25,relax
0,0,5,14,relax
91,53,32,23,relax
0,0,7,15,relax
84,51,30,21,relax
0,32,36,33,relax
0,0,0,4,relax
101,64,41,30,relax
0,0,0,9,relax
99,62,40,29,relax
0,0,4,13,relax
98,58,37,27,relax
0,0,5,15,relax
91,55,34,25,relax
0,0,9,19,relax
86,53,33,26,relax
0,0,11,19,relax
0,0,0,0,relax
99,64,38,23,relax
0,0,1,8,relax
99,63,43,31,relax
0,0,4,13,relax
96,58,38,28,relax
0,0,4,14,relax
95,56,34,25,relax
0,0,7,15,relax
90,52,31,22,relax
0,0,7,16,relax
78,43,25,18,relax
95,85,65,50,relax
0,0,12,22,relax
102,66,50,42,relax
0,0,5,17,relax
96,59,39,31,relax
0,0,1,11,relax
94,60,41,34,relax
0,0,16,29,relax
86,53,36,32,relax
0,0,11,21,relax
81,48,30,24,relax
33,54,50,43,relax
0,0,1,13,relax
99,62,43,35,relax
0,0,2,13,relax
92,58,39,30,relax
0,0,5,14,relax
90,55,35,27,relax
0,0,6,15,relax
87,52,32,24,relax
0,0,8,16,relax
84,50,30,22,relax
0,0,16,21,relax
0,0,0,0,relax
95,61,36,24,relax
0,0,0,6,relax
94,60,39,28,relax
0,0,4,12,relax
89,56,36,27,relax
0,0,5,14,relax
87,53,33,24,relax
0,0,8,16,relax
83,49,30,22,relax
0,0,8,16,relax
63,29,16,13,relax
98,78,59,44,relax
0,0,10,19,relax
95,63,46,38,relax
0,0,6,17,relax
91,56,38,31,relax
0,0,5,15,relax
91,54,34,26,relax
0,0,7,16,relax
83,50,31,23,relax
0,0,8,16,relax
79,46,27,20,relax
54,65,56,45,relax
0,0,5,16,relax
98,62,45,37,relax
0,0,3,14,relax
95,58,38,30,relax
0,0,5,15,relax
91,55,35,27,relax
0,0,6,16,relax
88,51,31,23,relax
0,0,8,16,relax
81,49,30,22,relax
0,7,21,24,relax
0,0,0,0,relax
95,61,37,26,relax
0,0,0,6,relax
96,60,39,28,relax
0,0,4,12,relax
91,56,37,27,relax
0,0,6,15,relax
89,53,33,24,relax
0,0,8,16,relax
84,50,30,23,relax
0,0,8,16,relax
52,19,10,9,relax
98,75,54,40,relax
0,0,8,16,relax
97,62,45,36,relax
0,0,5,16,relax
93,56,38,30,relax
0,0,5,15,relax
88,54,34,26,relax
0,0,7,16,relax
84,50,31,23,relax
0,0,7,16,relax
79,46,27,20,relax
60,69,57,46,relax
0,0,6,17,relax
98,62,45,37,relax
0,0,3,15,relax
93,58,38,30,relax
0,0,5,15,relax
89,55,35,27,relax
0,0,6,15,relax
85,51,31,23,relax
0,0,8,16,relax
84,49,30,22,relax
0,9,22,25,relax
0,0,0,0,relax
97,61,37,26,relax
0,0,0,7,relax
93,59,39,28,relax
0,0,4,12,relax
89,56,36,27,relax
0,0,5,14,relax
89,53,33,24,relax
0,0,8,16,relax
83,50,30,22,relax
0,0,8,16,relax
47,16,8,8,relax
96,74,53,39,relax
0,0,7,15,relax
97,62,45,36,relax
0,0,5,15,relax
89,56,38,30,relax
0,0,5,15,relax
89,54,34,26,relax
0,0,7,16,relax
85,51,31,23,relax
0,0,8,16,relax
78,46,27,20,relax
51,64,54,44,relax
0,0,4,16,relax
98,62,44,36,relax
0,0,3,14,relax
96,58,39,31,relax
0,0,5,15,relax
91,55,35,27,relax
0,0,7,16,relax
87,52,32,24,relax
0,0,8,17,relax
84,50,30,22,relax
0,6,21,24,relax
0,0,0,0,relax
95,61,37,26,relax
0,0,0,6,relax
93,59,39,28,relax
0,0,4,12,relax
90,56,36,27,relax
0,0,5,14,relax
91,53,33,24,relax
0,0,7,16,relax
80,49,30,22,relax
0,0,8,16,relax
51,19,10,9,relax
97,75,54,40,relax
0,0,8,16,relax
94,62,45,36,relax
0,0,5,16,relax
91,56,38,30,relax
0,0,5,15,relax
90,54,34,26,relax
0,0,7,16,relax
84,51,31,23,relax
0,0,8,16,relax
79,45,27,20,relax
57,67,56,45,relax
0,0,6,17,relax
98,62,45,37,relax
0,0,4,15,relax
92,57,38,30,relax
0,0,5,15,relax
89,55,35,27,relax
0,0,6,15,relax
86,51,31,23,relax
0,0,8,16,relax
82,49,30,22,relax
0,8,21,25,relax
0,0,0,0,relax
95,61,37,26,relax
0,0,0,6,relax
94,59,39,28,relax
0,0,4,12,relax
91,56,36,27,relax
0,0,6,15,relax
87,53,33,24,relax
0,0,8,16,relax
82,50,30,22,relax
0,0,8,16,relax
48,17,9,9,relax
99,74,53,39,relax
0,0,7,16,relax
95,62,45,36,relax
0,0,5,15,relax
91,56,38,30,relax
0,0,5,15,relax
91,54,34,26,relax
0,0,7,16,relax
86,51,31,23,relax
0,0,8,16,relax
79,46,28,20,relax
57,67,57,46,relax
0,0,6,17,relax
95,62,45,38,relax
0,0,3,15,relax
94,58,39,31,relax
0,0,5,15,relax
89,55,35,27,relax
0,0,6,16,relax
86,51,31,24,relax
0,0,8,16,relax
84,50,30,22,relax
