CH1,CH2,CH3,CH4,Label
95,137,162,200,right
0,15,68,119,right
96,61,59,82,right
0,0,27,54,right
86,46,28,35,right
0,0,20,33,right
10,0,0,0,right
99,73,54,40,right
0,0,0,4,right
95,67,51,38,right
0,0,0,11,right
89,59,41,32,right
0,0,4,15,right
89,53,33,25,right
0,0,11,19,right
82,46,25,18,right
0,0,15,22,right
75,36,16,12,right
63,74,65,51,right
0,0,0,10,right
97,69,54,44,right
0,0,0,10,right
96,61,44,34,right
0,0,2,13,right
88,55,35,26,right
0,0,8,17,right
85,48,26,19,right
0,0,15,21,right
81,44,22,16,right
0,15,30,31,right
0,0,0,0,right
96,69,48,34,right
0,0,0,2,right
94,65,47,34,right
0,0,0,9,right
89,57,38,28,right
0,0,4,14,right
90,52,30,22,right
0,0,12,19,right
80,44,23,17,right
0,0,16,22,right
54,17,4,5,right
97,83,66,49,right
0,0,0,11,right
98,69,55,44,right
0,0,0,13,right
92,60,43,34,right
0,0,4,15,right
91,54,34,26,right
0,0,10,19,right
86,47,26,20,right
0,0,15,22,right
81,41,20,15,right
21,52,53,45,right
0,0,0,3,right
95,68,52,40,right
0,0,0,7,right
94,63,45,34,right
0,0,1,11,right
92,56,37,27,right
0,0,7,16,right
89,49,28,21,right
0,0,13,20,right
83,44,22,16,right
0,0,20,25,right
0,0,0,0,right
98,70,50,35,right
0,0,0,1,right
95,66,49,36,right
0,0,0,9,right
92,59,41,31,right
0,0,4,14,right
89,53,33,24,right
0,0,11,19,right
81,45,24,18,right
0,0,15,21,right
73,35,16,12,right
68,78,68,52,right
0,0,0,12,right
98,69,56,45,right
0,0,0,11,right
95,61,44,34,right
0,0,2,13,right
87,54,34,26,right
0,0,7,16,right
85,47,25,18,right
0,0,13,20,right
80,43,21,15,right
0,19,33,32,right
0,0,0,0,right
96,69,48,34,right
0,0,0,2,right
94,65,47,34,right
0,0,0,10,right
89,57,38,29,right
0,0,5,15,right
89,51,30,22,right
0,0,12,20,right
80,43,22,17,right
0,0,15,22,right
42,7,0,1,right
99,80,62,45,right
0,0,0,8,right
95,68,54,42,right
0,0,0,11,right
92,60,42,33,right
0,0,3,14,right
89,54,34,26,right
0,0,9,18,right
86,47,25,19,right
0,0,15,21,right
78,41,20,15,right
15,48,51,43,right
0,0,0,1,right
98,68,51,39,right
0,0,0,6,right
93,63,45,34,right
0,0,1,11,right
92,57,37,27,right
0,0,6,15,right
88,49,28,20,right
0,0,13,20,right
80,44,22,16,right
0,0,19,24,right
0,0,0,0,right
96,71,51,36,right
0,0,0,2,right
95,67,50,37,right
0,0,0,10,right
89,59,41,31,right
0,0,4,14,right
88,53,32,24,right
0,0,11,19,right
82,46,24,18,right
0,0,14,21,right
74,35,16,12,right
67,77,67,52,right
0,0,0,11,right
98,69,55,45,right
0,0,0,11,right
93,61,44,35,right
0,0,3,14,right
89,55,36,27,right
0,0,8,18,right
83,48,26,20,right
0,0,15,21,right
80,43,22,16,right
0,17,32,32,right
0,0,0,0,right
96,69,49,35,right
0,0,0,3,right
94,65,47,35,right
0,0,0,10,right
90,58,39,29,right
0,0,6,15,right
89,51,30,23,right
0,0,12,20,right
82,44,23,17,right
0,0,16,22,right
44,10,0,2,right
99,80,63,46,right
0,0,0,9,right
96,68,54,42,right
0,0,0,11,right
91,60,42,32,right
0,0,3,14,right
90,54,33,25,right
0,0,9,18,right
86,46,25,18,right
0,0,15,21,right
81,41,20,15,right
19,50,52,44,right
0,0,0,3,right
96,68,51,40,right
0,0,0,6,right
96,63,46,34,right
0,0,2,12,right
89,57,38,28,right
0,0,8,17,right
88,50,29,22,right
0,0,14,21,right
79,44,23,17,right
0,0,20,25,right
0,0,0,0,right
97,71,50,35,right
0,0,0,2,right
94,67,50,36,right
0,0,0,10,right
91,59,41,31,right
0,0,5,15,right
91,53,33,25,right
0,0,11,19,right
82,46,25,18,right
0,0,15,22,right
72,34,15,12,right
77,83,70,54,right
0,0,0,13,right
98,70,57,46,right
0,0,0,13,right
93,61,45,36,right
0,0,4,15,right
92,56,36,28,right
0,0,10,19,right
83,48,28,22,right
0,0,17,24,right
79,43,23,18,right
0,27,40,38,right
0,0,0,0,right
97,69,51,38,right
0,0,0,6,right
94,65,48,36,right
0,0,2,13,right
90,58,39,30,right
0,0,7,17,right
90,51,30,23,right
0,0,13,20,right
80,43,22,17,right
0,0,16,22,right
16,0,0,0,right
98,75,55,39,right
0,0,0,5,right
96,68,52,40,right
0,0,0,11,right
92,60,43,33,right
0,0,5,15,right
90,54,35,27,right
0,0,12,20,right
82,46,26,20,right
0,0,16,23,right
77,39,19,15,right
44,64,60,50,right
0,0,0,8,right
96,69,54,44,right
0,0,0,11,right
96,63,46,36,right
0,0,3,14,right
91,56,37,28,right
0,0,7,17,right
86,48,27,20,right
0,0,13,20,right
81,43,21,15,right
0,4,23,26,right
0,0,0,0,right
95,69,48,32,right
0,0,0,0,right
96,65,47,33,right
0,0,0,8,right
91,58,39,29,right
0,0,4,13,right
91,52,31,22,right
0,0,11,18,right
81,45,23,17,right
0,0,14,21,right
69,30,12,9,right
96,87,70,53,right
0,0,1,13,right
98,69,56,45,right
0,0,0,12,right
92,60,43,34,right
0,0,2,13,right
90,54,34,25,right
0,0,8,17,right
86,47,25,18,right
0,0,15,20,right
79,42,21,15,right
0,31,40,37,right
0,0,0,0,right
97,68,49,36,right
0,0,0,3,right
94,64,46,33,right
0,0,0,10,right
91,57,38,28,right
0,0,5,15,right
88,50,29,21,right
0,0,12,19,right
82,44,22,16,right
0,0,16,21,right
21,0,0,0,right
98,74,55,39,right
0,0,0,4,right
95,67,50,38,right
0,0,0,9,right
92,60,42,32,right
0,0,3,14,right
89,54,34,25,right
0,0,10,18,right
83,46,26,19,right
0,0,15,22,right
77,39,19,15,right
41,63,59,49,right
0,0,0,7,right
96,69,54,43,right
0,0,0,9,right
94,63,45,34,right
0,0,1,12,right
92,55,36,27,right
0,0,6,15,right
88,49,27,19,right
0,0,13,19,right
81,44,22,15,right
0,2,22,25,right
0,0,0,0,right
95,70,49,33,right
0,0,0,0,right
94,66,48,34,right
0,0,0,8,right
89,58,40,30,right
0,0,3,13,right
89,52,31,23,right
0,0,10,18,right
82,45,24,17,right
0,0,15,21,right
71,33,14,11,right
86,87,71,54,right
0,0,2,14,right
95,70,57,47,right
0,0,0,13,right
92,61,44,35,right
0,0,3,14,right
91,55,35,27,right
0,0,9,18,right
86,48,26,20,right
0,0,15,21,right
80,43,21,16,right
0,26,37,35,right
0,0,0,0,right
97,68,49,35,right
0,0,0,3,right
96,64,46,33,right
0,0,0,10,right
90,57,38,28,right
0,0,6,15,right
88,51,30,22,right
0,0,13,20,right
79,43,22,16,right
0,0,16,22,right
31,0,0,0,right
99,77,58,42,right
0,0,0,6,right
95,67,52,39,right
0,0,0,10,right
93,59,41,31,right
0,0,3,13,right
87,53,33,24,right
0,0,9,17,right
84,46,24,17,right
0,0,13,20,right
78,41,19,13,right
36,59,56,46,right
0,0,0,5,right
96,68,52,41,right
0,0,0,8,right
97,64,46,35,right
0,0,2,13,right
91,56,38,29,right
0,0,8,17,right
89,50,29,22,right
0,0,14,21,right
81,45,23,18,right
0,0,21,26,right
0,0,0,0,right
98,70,49,34,right
0,0,0,1,right
94,66,48,35,right
0,0,0,8,right
89,58,40,30,right
0,0,3,13,right
89,53,32,23,right
0,0,10,18,right
81,45,24,18,right
0,0,15,21,right
73,33,15,11,right
75,83,69,53,right
0,0,0,13,right
98,70,56,46,right
0,0,0,12,right
94,61,44,35,right
0,0,3,14,right
90,55,35,27,right
0,0,9,18,right
85,47,26,20,right
0,0,15,21,right
81,44,22,16,right
0,23,35,34,right
0,0,0,0,right
95,69,49,35,right
0,0,0,3,right
94,65,47,34,right
0,0,1,10,right
89,57,39,29,right
0,0,6,15,right
88,51,30,22,right
0,0,12,19,right
79,43,22,17,right
0,0,16,22,right
37,4,0,0,right
99,79,61,44,right
0,0,0,8,right
96,68,53,41,right
0,0,0,11,right
91,60,42,32,right
0,0,3,14,right
91,54,34,25,right
0,0,10,18,right
84,46,25,19,right
0,0,14,21,right
78,40,19,14,right
33,57,56,46,right
0,0,0,4,right
96,68,52,40,right
0,0,0,7,right
93,63,45,34,right
0,0,1,12,right
91,56,37,28,right
0,0,7,16,right
89,50,28,21,right
0,0,14,21,right
84,45,23,17,right
0,0,21,26,right
0,0,0,0,right
97,70,49,34,right
0,0,0,1,right
96,66,49,35,right
0,0,0,9,right
90,59,41,30,right
0,0,4,14,right
89,53,32,24,right
0,0,10,18,right
82,45,24,17,right
0,0,14,21,right
75,35,15,12,right
77,84,70,54,right
0,0,0,13,right
99,70,56,46,right
0,0,0,13,right
94,61,44,35,right
0,0,3,14,right
90,55,35,27,right
0,0,8,17,right
85,47,26,19,right
0,0,14,21,right
80,43,21,15,right
0,22,35,33,right
0,0,0,0,right
95,68,48,34,right
0,0,0,2,right
94,64,46,33,right
0,0,0,10,right
89,57,38,28,right
0,0,5,14,right
86,50,30,21,right
0,0,12,19,right
79,43,22,16,right
0,0,15,21,right
37,4,0,0,right
98,79,61,44,right
0,0,0,8,right
95,68,53,41,right
0,0,0,11,right
91,60,42,33,right
0,0,3,14,right
89,53,33,25,right
0,0,9,17,right
87,47,25,18,right
0,0,15,21,right
78,42,20,15,right
20,52,53,44,right
0,0,0,3,right
97,69,52,40,right
0,0,0,7,right
96,64,46,34,right
0,0,2,12,right
92,57,38,28,right
0,0,7,16,right
87,50,29,21,right
0,0,14,20,right
81,45,23,17,right
0,0,20,24,right
0,0,0,0,right
99,71,51,35,right
0,0,0,2,right
95,66,49,36,right
0,0,0,9,right
92,59,41,31,right
0,0,4,14,right
91,53,33,24,right
0,0,11,19,right
82,46,25,19,right
0,0,15,21,right
73,36,16,12,right
65,77,66,51,right
0,0,0,11,right
98,69,55,44,right
0,0,0,11,right
96,62,44,34,right
0,0,3,13,right
88,55,35,27,right
0,0,8,17,right
86,48,27,20,right
0,0,14,21,right
81,43,22,16,right
0,16,31,32,right
0,0,0,0,right
96,69,48,34,right
0,0,0,2,right
94,65,47,34,right
0,0,0,10,right
90,57,38,29,right
0,0,5,15,right
90,51,30,22,right
0,0,12,19,right
83,44,23,17,right
0,0,16,22,right
47,11,0,2,right
99,81,63,46,right
0,0,0,9,right
96,69,54,43,right
0,0,0,12,right
92,60,43,34,right
0,0,3,14,right
90,54,34,26,right
0,0,10,18,right
86,47,26,19,right
0,0,15,22,right
79,41,20,15,right
31,57,56,47,right
0,0,0,5,right
98,68,52,41,right
0,0,0,7,right
96,63,45,34,right
0,0,1,12,right
92,56,37,28,right
0,0,7,16,right
87,49,28,20,right
0,0,13,19,right
83,44,22,16,right
0,0,20,24,right
0,0,0,0,right
96,70,49,33,right
0,0,0,0,right
94,66,48,34,right
0,0,0,8,right
90,58,39,29,right
0,0,3,12,right
89,52,31,23,right
0,0,10,17,right
81,45,23,17,right
0,0,14,20,right
72,34,15,11,right
75,82,68,52,right
0,0,0,12,right
97,69,56,45,right
0,0,0,12,right
95,61,44,34,right
0,0,3,13,right
91,55,35,26,right
0,0,8,17,right
84,48,27,20,right
0,0,14,21,right
80,43,21,16,right
0,20,34,33,right
0,0,0,0,right
95,69,48,34,right
0,0,0,2,right
94,65,47,34,right
0,0,0,10,right
91,57,38,29,right
0,0,5,15,right
90,51,30,22,right
0,0,12,19,right
83,44,23,17,right
0,0,16,22,right
39,6,0,0,right
96,79,61,44,right
0,0,0,8,right
97,68,53,41,right
0,0,0,11,right
92,60,42,33,right
0,0,3,14,right
91,54,34,25,right
0,0,10,18,right
83,47,25,19,right
0,0,15,21,right
79,41,20,15,right
26,55,54,46,right
0,0,0,4,right
97,69,52,40,right
0,0,0,7,right
96,63,46,35,right
0,0,2,12,right
90,56,37,28,right
0,0,7,16,right
88,50,29,21,right
0,0,14,21,right
81,44,23,17,right
0,0,20,25,right
0,0,0,0,right
96,70,50,34,right
0,0,0,1,right
95,66,48,35,right
0,0,0,9,right
90,59,40,30,right
0,0,4,13,right
91,53,32,24,right
0,0,10,18,right
82,46,24,18,right
0,0,14,21,right
74,35,15,12,right
71,79,67,52,right
0,0,0,11,right
97,69,55,45,right
0,0,0,11,right
95,61,44,35,right
0,0,3,14,right
92,55,35,27,right
0,0,8,17,right
84,48,27,20,right
0,0,15,21,right
81,43,22,16,right
0,16,31,32,right
0,0,0,0,right
95,69,48,34,right
0,0,0,2,right
94,65,47,34,right
0,0,0,10,right
91,57,38,28,right
0,0,4,14,right
89,51,29,21,right
0,0,11,18,right
82,44,22,16,right
0,0,15,21,right
45,9,0,1,right
99,80,62,45,right
0,0,0,8,right
96,69,54,42,right
0,0,0,11,right
91,60,43,33,right
0,0,3,14,right
90,54,34,26,right
0,0,9,18,right
84,47,26,19,right
0,0,15,21,right
79,42,21,16,right
4,39,45,40,right
0,0,0,0,right
96,69,50,38,right
0,0,0,6,right
95,64,46,35,right
0,0,1,12,right
93,57,38,29,right
0,0,7,16,right
88,51,30,22,right
0,0,14,21,right
80,44,23,18,right
0,0,18,24,right
12,0,0,0,right
98,73,54,38,right
0,0,0,4,right
95,67,51,38,right
0,0,0,10,right
92,59,41,31,right
0,0,4,14,right
91,53,33,24,right
0,0,10,18,right
85,46,25,18,right
0,0,14,21,right
75,37,17,13,right
66,76,66,51,right
0,0,0,11,right
97,69,55,44,right
0,0,0,11,right
94,61,44,34,right
0,0,2,13,right
89,55,35,26,right
0,0,7,16,right
87,47,26,19,right
0,0,14,20,right
82,43,21,15,right
0,17,31,31,right
0,0,0,0,right
98,69,48,33,right
0,0,0,1,right
94,65,47,33,right
0,0,0,9,right
89,57,39,29,right
0,0,5,14,right
90,52,31,22,right
0,0,12,19,right
80,44,23,17,right
0,0,16,22,right
54,15,3,5,right
97,82,65,48,right
0,0,0,11,right
98,69,55,44,right
0,0,0,13,right
94,60,43,34,right
0,0,4,15,right
90,54,34,27,right
0,0,10,19,right
84,46,26,20,right
0,0,15,22,right
78,41,20,16,right
23,54,54,46,right
0,0,0,4,right
96,68,52,41,right
0,0,0,7,right
96,63,45,34,right
0,0,1,12,right
92,56,37,28,right
0,0,6,16,right
87,49,28,20,right
0,0,13,20,right
80,44,22,16,right
0,0,19,24,right
0,0,0,0,right
96,70,50,34,right
0,0,0,1,right
94,66,49,35,right
0,0,0,9,right
91,59,40,30,right
0,0,4,13,right
89,53,32,23,right
0,0,10,18,right
84,46,24,17,right
0,0,14,20,right
74,36,16,12,right
72,80,68,52,right
0,0,0,12,right
97,69,56,45,right
0,0,0,11,right
94,61,44,34,right
0,0,2,13,right
91,55,35,26,right
0,0,8,17,right
87,48,26,19,right
0,0,14,20,right
80,43,21,15,right
0,18,32,32,right
0,0,0,0,right
96,69,48,34,right
0,0,0,2,right
95,65,47,34,right
0,0,0,10,right
91,57,39,29,right
0,0,6,15,right
89,51,30,22,right
0,0,12,19,right
80,44,23,17,right
0,0,16,22,right
41,6,0,1,right
99,79,61,45,right
0,0,0,8,right
96,68,53,41,right
0,0,0,11,right
94,59,42,32,right
0,0,3,13,right
88,54,33,25,right
0,0,9,17,right
85,47,25,18,right
0,0,15,21,right
78,42,20,15,right
12,46,49,42,right
0,0,0,1,right
96,68,50,38,right
0,0,0,6,right
94,63,45,33,right
0,0,1,11,right
93,57,37,28,right
0,0,7,16,right
87,50,29,21,right
0,0,14,20,right
80,45,23,17,right
0,0,20,25,right
0,0,0,0,right
97,71,52,37,right
0,0,0,3,right
94,66,49,36,right
0,0,0,10,right
92,59,41,31,right
0,0,5,15,right
89,53,33,25,right
0,0,11,19,right
84,46,26,19,right
0,0,16,22,right
75,36,17,14,right
73,81,70,54,right
0,0,0,14,right
96,70,57,46,right
0,0,0,13,right
94,61,44,35,right
0,0,3,14,right
91,55,35,27,right
0,0,8,17,right
85,47,26,19,right
0,0,14,20,right
81,43,21,15,right
0,19,32,32,right
0,0,0,0,right
96,69,48,34,right
0,0,0,2,right
95,65,47,34,right
0,0,0,10,right
91,57,38,29,right
0,0,6,15,right
89,51,30,22,right
0,0,12,20,right
80,44,23,17,right
0,0,15,22,right
42,7,0,1,right
98,80,62,45,right
0,0,0,8,right
96,68,53,41,right
0,0,0,11,right
92,60,42,32,right
0,0,3,14,right
91,54,33,25,right
0,0,9,18,right
86,47,25,19,right
0,0,15,21,right
79,42,20,15,right
11,46,49,42,right
0,0,0,1,right
98,68,51,38,right
0,0,0,6,right
96,64,46,34,right
0,0,2,12,right
92,56,37,28,right
0,0,7,16,right
89,50,28,21,right
0,0,13,20,right
80,44,23,16,right
0,0,19,24,right
0,0,0,0,right
98,72,52,36,right
0,0,0,3,right
95,67,50,37,right
0,0,0,10,right
92,59,41,31,right
0,0,4,14,right
88,52,32,24,right
0,0,10,18,right
82,45,24,18,right
0,0,14,21,right
74,34,15,11,right
69,79,67,52,right
0,0,0,12,right
99,69,55,45,right
0,0,0,12,right
93,61,44,35,right
0,0,3,14,right
91,55,36,27,right
0,0,9,18,right
87,48,27,20,right
0,0,15,22,right
81,42,21,16,right
0,18,32,33,right
0,0,0,0,right
95,68,48,34,right
0,0,0,2,right
95,64,46,33,right
0,0,0,10,right
90,57,38,28,right
0,0,5,14,right
88,51,30,22,right
0,0,12,19,right
80,44,22,17,right
0,0,16,22,right
43,9,0,1,right
99,81,63,46,right
0,0,0,9,right
98,69,54,43,right
0,0,0,12,right
92,60,43,33,right
0,0,4,14,right
91,54,34,26,right
0,0,10,18,right
83,46,25,18,right
0,0,14,21,right
79,41,19,14,right
18,50,52,44,right
0,0,0,2,right
96,68,51,39,right
0,0,0,6,right
94,63,45,33,right
0,0,1,11,right
92,56,37,27,right
0,0,7,16,right
86,49,28,21,right
0,0,13,20,right
80,44,22,16,right
0,0,20,24,right
0,0,0,0,right
98,71,51,35,right
0,0,0,2,right
96,66,49,36,right
0,0,0,9,right
90,58,40,30,right
0,0,3,13,right
89,53,32,23,right
0,0,10,18,right
82,45,24,17,right
0,0,14,20,right
75,36,16,12,right
63,74,65,50,right
0,0,0,10,right
99,68,54,43,right
0,0,0,10,right
95,61,43,33,right
0,0,2,13,right
90,55,35,26,right
0,0,8,17,right
85,47,26,19,right
0,0,14,20,right
80,43,21,15,right
0,16,31,31,right
0,0,0,0,right
96,69,48,33,right
0,0,0,2,right
95,64,46,33,right
0,0,0,10,right
90,57,38,28,right
0,0,5,14,right
87,51,30,21,right
0,0,12,19,right
80,44,23,16,right
0,0,16,22,right
46,11,0,3,right
97,81,63,46,right
0,0,0,9,right
96,69,54,42,right
0,0,0,12,right
93,60,42,33,right
0,0,3,14,right
90,54,33,25,right
0,0,9,18,right
84,47,25,19,right
0,0,14,21,right
79,41,20,15,right
10,45,48,41,right
0,0,0,0,right
96,67,49,37,right
0,0,0,4,right
94,62,43,31,right
0,0,0,9,right
90,56,36,26,right
0,0,5,14,right
89,49,27,19,right
0,0,11,17,right
81,43,20,14,right
0,0,15,20,right
6,0,0,0,right
96,71,51,34,right
0,0,0,0,right
95,66,48,34,right
0,0,0,7,right
92,59,40,29,right
0,0,3,12,right
90,53,33,24,right
0,0,11,18,right
82,46,25,19,right
0,0,16,22,right
75,38,19,15,right
39,60,58,49,right
0,0,0,9,right
97,70,56,45,right
0,0,0,13,right
95,65,49,40,right
0,0,7,19,right
92,58,41,33,right
0,0,13,23,right
86,50,32,26,right
0,0,18,27,right
82,45,26,22,right
0,7,29,33,right
0,0,0,0,right
96,70,51,38,right
0,0,0,5,right
95,65,50,38,right
0,0,2,13,right
86,55,39,31,right
0,0,6,16,right
90,52,32,24,right
0,0,13,21,right
81,44,24,19,right
0,0,16,23,right
64,25,10,9,right
97,86,70,53,right
0,0,2,14,right
97,70,57,47,right
0,0,1,15,right
92,59,44,36,right
0,0,5,16,right
91,55,36,28,right
0,0,12,21,right
86,48,28,22,right
0,0,17,24,right
80,42,22,18,right
0,37,46,42,right
0,0,0,1,right
97,69,53,40,right
0,0,0,9,right
88,62,46,36,right
0,0,1,12,right
90,56,37,28,right
0,0,5,15,right
86,48,26,18,right
0,0,10,16,right
78,42,19,12,right
0,0,13,18,right
20,0,0,0,right
97,73,52,35,right
0,0,0,0,right
94,65,47,33,right
0,0,0,6,right
90,58,38,28,right
0,0,2,11,right
87,52,31,22,right
0,0,9,17,right
84,46,24,17,right
0,0,15,21,right
76,39,19,14,right
37,56,55,46,right
0,0,0,5,right
97,69,53,41,right
0,0,0,9,right
94,63,46,35,right
0,0,3,14,right
91,56,37,29,right
0,0,9,18,right
88,49,29,22,right
0,0,15,22,right
82,45,24,18,right
0,2,23,27,right
0,0,0,0,right
97,70,49,34,right
0,0,0,2,right
94,66,49,36,right
0,0,0,10,right
90,58,40,31,right
0,0,5,15,right
91,53,32,24,right
0,0,12,20,right
84,45,24,18,right
0,0,16,22,right
69,30,13,10,right
96,87,71,53,right
0,0,2,14,right
95,69,56,46,right
0,0,0,13,right
94,60,43,34,right
0,0,3,14,right
91,54,34,26,right
0,0,9,18,right
84,47,26,19,right
0,0,15,21,right
80,42,21,16,right
0,34,42,38,right
0,0,0,0,right
98,68,49,36,right
0,0,0,4,right
95,64,45,33,right
0,0,0,10,right
91,57,37,28,right
0,0,6,15,right
87,50,29,21,right
0,0,13,20,right
80,44,23,17,right
0,0,17,23,right
19,0,0,0,right
97,73,54,39,right
0,0,0,4,right
97,67,50,38,right
0,0,0,10,right
93,59,41,31,right
0,0,4,14,right
91,53,33,24,right
0,0,10,18,right
82,45,23,17,right
0,0,13,20,right
77,37,16,11,right
55,68,61,48,right
0,0,0,7,right
96,68,53,42,right
0,0,0,8,right
95,62,44,33,right
0,0,2,12,right
89,55,35,26,right
0,0,7,16,right
88,48,27,19,right
0,0,13,20,right
82,44,22,16,right
0,5,24,27,right
0,0,0,0,right
97,69,48,33,right
0,0,0,1,right
96,65,47,34,right
0,0,0,9,right
89,58,39,29,right
0,0,4,14,right
89,52,31,23,right
0,0,11,18,right
82,45,23,17,right
0,0,15,21,right
67,28,11,9,right
96,86,70,52,right
0,0,1,13,right
95,69,56,45,right
0,0,0,12,right
94,60,43,34,right
0,0,3,14,right
90,54,34,26,right
0,0,9,17,right
84,47,25,19,right
0,0,15,21,right
80,42,21,15,right
0,31,40,37,right
0,0,0,0,right
96,68,49,36,right
0,0,0,3,right
94,64,45,33,right
0,0,0,9,right
89,56,36,27,right
0,0,4,13,right
88,50,27,19,right
0,0,10,16,right
80,42,19,13,right
0,0,13,18,right
39,5,0,0,right
98,78,58,41,right
0,0,0,5,right
95,67,50,38,right
0,0,0,8,right
90,58,39,29,right
0,0,1,10,right
89,52,31,21,right
0,0,6,14,right
86,46,22,15,right
0,0,12,18,right
79,41,18,12,right
12,46,48,40,right
0,0,0,0,right
97,68,50,37,right
0,0,0,5,right
94,63,45,33,right
0,0,1,11,right
90,56,37,27,right
0,0,6,15,right
87,49,27,20,right
0,0,12,19,right
82,44,21,15,right
0,0,17,22,right
0,0,0,0,right
95,71,51,35,right
0,0,0,1,right
95,66,48,35,right
0,0,0,8,right
92,59,40,30,right
0,0,4,13,right
88,53,33,25,right
0,0,11,19,right
82,46,26,20,right
0,0,16,23,right
75,37,18,15,right
50,65,61,49,right
0,0,0,8,right
97,68,53,42,right
0,0,0,9,right
93,61,43,33,right
0,0,1,11,right
87,54,34,25,right
0,0,6,14,right
87,48,25,18,right
0,0,12,18,right
78,43,21,14,right
0,3,22,25,right
0,0,0,0,right
95,70,49,33,right
0,0,0,3,right
95,67,51,37,right
0,0,3,14,right
91,60,44,35,right
0,0,10,20,right
88,54,36,29,right
0,0,15,24,right
83,46,26,21,right
0,0,16,24,right
69,30,12,10,right
99,86,69,52,right
0,0,0,12,right
97,68,53,42,right
0,0,0,10,right
93,59,40,31,right
0,0,1,12,right
89,53,32,23,right
0,0,9,17,right
86,47,26,19,right
