Person_ID,Timestamp,CH1,CH2,CH3,CH4
4d0c952b,ts1739732397833,11,86,113,154
4d0c952b,ts1739732397833,77,82,96,120
4d0c952b,ts1739732397833,0,25,55,82
4d0c952b,ts1739732397833,67,53,58,70
4d0c952b,ts1739732397833,1,18,36,51
4d0c952b,ts1739732397839,55,43,44,48
4d0c952b,ts1739732397839,14,24,34,41
4d0c952b,ts1739732397840,50,41,41,42
4d0c952b,ts1739732397841,35,37,40,42
4d0c952b,ts1739732397842,28,31,36,39
4d0c952b,ts1739732397842,67,56,50,47
4d0c952b,ts1739732397844,0,18,30,37
4d0c952b,ts1739732397844,62,48,44,42
4d0c952b,ts1739732397845,0,11,24,31
4d0c952b,ts1739732397845,58,43,38,36
4d0c952b,ts1739732397846,0,10,21,27
4d0c952b,ts1739732397846,48,36,33,32
4d0c952b,ts1739732397846,0,10,19,25
4d0c952b,ts1739732397846,40,29,28,28
4d0c952b,ts1739732397850,2,13,19,23
4d0c952b,ts1739732397851,15,14,18,21
4d0c952b,ts1739732397852,36,31,28,26
4d0c952b,ts1739732397852,0,0,10,16
4d0c952b,ts1739732397854,45,30,25,23
4d0c952b,ts1739732397854,0,0,7,14
4d0c952b,ts1739732397854,47,30,24,22
4d0c952b,ts1739732397856,0,0,9,14
4d0c952b,ts1739732397856,38,26,22,20
4d0c952b,ts1739732397857,0,2,10,14
4d0c952b,ts1739732397857,31,22,19,18
4d0c952b,ts1739732397857,0,6,12,15
4d0c952b,ts1739732397857,20,16,16,16
4d0c952b,ts1739732397860,27,26,23,21
4d0c952b,ts1739732397862,0,0,9,14
4d0c952b,ts1739732397863,50,34,26,22
4d0c952b,ts1739732397863,0,0,10,15
4d0c952b,ts1739732397863,54,37,28,24
4d0c952b,ts1739732397864,0,3,12,17
4d0c952b,ts1739732397864,49,36,28,25
4d0c952b,ts1739732397866,0,7,15,19
4d0c952b,ts1739732397867,42,31,26,24
4d0c952b,ts1739732397868,0,11,17,20
4d0c952b,ts1739732397869,31,25,23,23
4d0c952b,ts1739732397869,26,27,26,25
4d0c952b,ts1739732397870,0,3,12,17
4d0c952b,ts1739732397870,53,37,29,26
4d0c952b,ts1739732397872,0,3,12,18
4d0c952b,ts1739732397873,55,39,31,26
4d0c952b,ts1739732397874,0,3,13,18
4d0c952b,ts1739732397875,50,35,28,25
4d0c952b,ts1739732397876,0,7,15,19
4d0c952b,ts1739732397876,44,33,27,25
4d0c952b,ts1739732397877,1,13,18,21
4d0c952b,ts1739732397877,37,29,26,24
4d0c952b,ts1739732397879,17,23,24,24
4d0c952b,ts1739732397880,1,8,15,19
4d0c952b,ts1739732397880,57,41,32,28
4d0c952b,ts1739732397881,0,7,15,20
4d0c952b,ts1739732397881,58,41,32,29
4d0c952b,ts1739732397881,0,4,14,20
4d0c952b,ts1739732397883,51,36,30,27
4d0c952b,ts1739732397883,0,8,16,20
4d0c952b,ts1739732397883,46,34,28,26
4d0c952b,ts1739732397885,2,13,18,21
4d0c952b,ts1739732397885,36,28,26,25
4d0c952b,ts1739732397886,13,20,22,23
4d0c952b,ts1739732397887,6,11,16,19
4d0c952b,ts1739732397887,55,41,33,28
4d0c952b,ts1739732397888,0,7,16,20
4d0c952b,ts1739732397888,56,41,33,29
4d0c952b,ts1739732397888,0,3,14,19
4d0c952b,ts1739732397890,54,37,30,27
4d0c952b,ts1739732397890,0,7,15,20
4d0c952b,ts1739732397891,47,34,28,25
4d0c952b,ts1739732397892,0,10,17,20
4d0c952b,ts1739732397892,37,29,25,24
4d0c952b,ts1739732397892,8,16,20,21
4d0c952b,ts1739732397892,15,15,18,20
4d0c952b,ts1739732397895,52,42,34,29
4d0c952b,ts1739732397895,0,8,17,21
4d0c952b,ts1739732397896,57,42,34,30
4d0c952b,ts1739732397896,0,7,16,21
4d0c952b,ts1739732397896,57,40,33,29
4d0c952b,ts1739732397896,0,12,19,23
4d0c952b,ts1739732397899,49,37,31,29
4d0c952b,ts1739732397899,3,16,21,24
4d0c952b,ts1739732397899,42,34,30,28
4d0c952b,ts1739732397900,15,23,25,26
4d0c952b,ts1739732397901,25,23,24,25
4d0c952b,ts1739732397901,53,45,37,33
4d0c952b,ts1739732397902,0,8,18,24
4d0c952b,ts1739732397903,58,42,35,31
4d0c952b,ts1739732397903,0,5,16,22
4d0c952b,ts1739732397903,56,40,32,29
4d0c952b,ts1739732397905,0,8,17,21
4d0c952b,ts1739732397905,47,35,29,27
4d0c952b,ts1739732397905,0,11,18,21
4d0c952b,ts1739732397907,39,30,26,25
4d0c952b,ts1739732397907,11,17,20,22
4d0c952b,ts1739732397908,24,21,21,22
4d0c952b,ts1739732397908,67,52,41,34
4d0c952b,ts1739732397908,0,12,21,26
4d0c952b,ts1739732397908,56,42,36,32
4d0c952b,ts1739732397911,0,3,15,21
4d0c952b,ts1739732397912,54,38,31,28
4d0c952b,ts1739732397913,0,0,9,16
4d0c952b,ts1739732397913,17,11,13,15
4d0c952b,ts1739732397914,0,0,4,9
4d0c952b,ts1739732397914,33,21,16,15
4d0c952b,ts1739732397919,0,8,11,13
4d0c952b,ts1739732397930,25,20,18,17
4d0c952b,ts1739732397940,30,29,25,22
4d0c952b,ts1739732397951,0,2,10,15
4d0c952b,ts1739732397958,56,38,29,24
4d0c952b,ts1739732397972,0,2,11,16
4d0c952b,ts1739732397984,55,39,30,25
4d0c952b,ts1739732397992,0,2,12,17
4d0c952b,ts1739732398007,48,33,27,24
4d0c952b,ts1739732398017,0,6,14,18
4d0c952b,ts1739732398027,39,29,24,22
4d0c952b,ts1739732398038,0,9,15,18
4d0c952b,ts1739732398049,26,21,20,19
4d0c952b,ts1739732398057,12,18,19,20
4d0c952b,ts1739732398070,0,0,6,12
4d0c952b,ts1739732398079,49,32,24,20
4d0c952b,ts1739732398092,0,0,6,12
4d0c952b,ts1739732398103,51,33,25,21
4d0c952b,ts1739732398111,0,0,7,12
4d0c952b,ts1739732398126,50,32,25,21
4d0c952b,ts1739732398137,0,3,11,15
4d0c952b,ts1739732398148,40,28,23,21
4d0c952b,ts1739732398158,0,7,13,16
4d0c952b,ts1739732398170,32,24,21,19
4d0c952b,ts1739732398180,10,16,18,18
4d0c952b,ts1739732398191,2,7,12,15
4d0c952b,ts1739732398202,49,37,28,24
4d0c952b,ts1739732398213,0,0,10,15
4d0c952b,ts1739732398223,53,36,28,24
4d0c952b,ts1739732398234,0,0,9,15
4d0c952b,ts1739732398246,51,34,27,23
4d0c952b,ts1739732398256,0,2,11,15
4d0c952b,ts1739732398267,42,29,24,21
4d0c952b,ts1739732398278,0,5,12,15
4d0c952b,ts1739732398289,34,26,22,20
4d0c952b,ts1739732398300,1,10,15,17
4d0c952b,ts1739732398311,16,13,15,16
4d0c952b,ts1739732398322,39,33,27,23
4d0c952b,ts1739732398332,0,0,9,14
4d0c952b,ts1739732398343,52,35,27,23
4d0c952b,ts1739732398354,0,0,8,14
4d0c952b,ts1739732398365,51,35,26,22
4d0c952b,ts1739732398375,0,1,10,15
4d0c952b,ts1739732398387,43,30,24,21
4d0c952b,ts1739732398397,0,5,12,16
4d0c952b,ts1739732398408,35,26,22,20
4d0c952b,ts1739732398419,0,10,14,16
4d0c952b,ts1739732398430,21,18,17,18
4d0c952b,ts1739732398441,30,28,24,22
4d0c952b,ts1739732398452,0,0,8,13
4d0c952b,ts1739732398464,53,35,26,22
4d0c952b,ts1739732398474,0,0,9,14
4d0c952b,ts1739732398484,55,37,28,23
4d0c952b,ts1739732398495,0,2,11,16
4d0c952b,ts1739732398506,50,34,27,23
4d0c952b,ts1739732398517,0,6,14,17
4d0c952b,ts1739732398528,41,29,24,22
4d0c952b,ts1739732398539,0,10,16,18
4d0c952b,ts1739732398550,28,23,21,20
4d0c952b,ts1739732398561,20,24,23,22
4d0c952b,ts1739732398572,0,0,9,15
4d0c952b,ts1739732398583,52,35,27,23
4d0c952b,ts1739732398593,0,0,9,14
4d0c952b,ts1739732398605,50,35,27,23
4d0c952b,ts1739732398616,0,0,9,14
4d0c952b,ts1739732398626,47,32,25,22
4d0c952b,ts1739732398637,0,1,10,15
4d0c952b,ts1739732398648,35,25,21,19
4d0c952b,ts1739732398658,0,3,10,14
4d0c952b,ts1739732398670,26,19,17,16
4d0c952b,ts1739732398681,3,10,13,15
4d0c952b,ts1739732398691,0,2,7,10
4d0c952b,ts1739732398703,48,34,24,19
4d0c952b,ts1739732398713,0,0,7,11
4d0c952b,ts1739732398724,56,36,26,20
4d0c952b,ts1739732398735,0,0,9,15
4d0c952b,ts1739732398746,52,35,27,23
4d0c952b,ts1739732398757,0,2,11,15
4d0c952b,ts1739732398768,42,29,24,21
4d0c952b,ts1739732398778,0,5,12,16
4d0c952b,ts1739732398789,31,23,20,19
4d0c952b,ts1739732398800,0,8,13,16
4d0c952b,ts1739732398811,12,11,13,14
4d0c952b,ts1739732398822,33,27,23,20
4d0c952b,ts1739732398832,0,0,4,11
4d0c952b,ts1739732398843,45,29,21,18
4d0c952b,ts1739732398854,0,0,4,10
4d0c952b,ts1739732398865,48,32,23,19
4d0c952b,ts1739732398876,0,0,8,12
4d0c952b,ts1739732398887,47,32,24,20
4d0c952b,ts1739732398898,0,3,10,14
4d0c952b,ts1739732398908,37,26,21,19
4d0c952b,ts1739732398919,0,9,13,15
4d0c952b,ts1739732398931,25,20,18,18
4d0c952b,ts1739732398942,30,28,25,22
4d0c952b,ts1739732398953,0,0,8,14
4d0c952b,ts1739732398963,53,35,27,23
4d0c952b,ts1739732398974,0,0,9,14
4d0c952b,ts1739732398986,55,37,28,23
4d0c952b,ts1739732398996,0,4,12,16
4d0c952b,ts1739732399007,48,34,27,23
4d0c952b,ts1739732399018,0,6,14,17
4d0c952b,ts1739732399028,43,31,26,23
4d0c952b,ts1739732399040,0,11,16,19
4d0c952b,ts1739732399051,37,29,25,23
4d0c952b,ts1739732399062,16,23,23,23
4d0c952b,ts1739732399073,0,3,11,16
4d0c952b,ts1739732399083,54,38,29,25
4d0c952b,ts1739732399094,0,1,11,16
4d0c952b,ts1739732399105,58,40,30,26
4d0c952b,ts1739732399116,0,0,11,16
4d0c952b,ts1739732399127,48,31,25,22
4d0c952b,ts1739732399137,0,3,11,15
4d0c952b,ts1739732399149,39,28,23,21
4d0c952b,ts1739732399160,0,10,15,17
4d0c952b,ts1739732399170,28,22,20,20
4d0c952b,ts1739732399181,5,13,16,17
4d0c952b,ts1739732399192,0,1,8,12
4d0c952b,ts1739732399202,46,32,23,19
4d0c952b,ts1739732399213,0,0,8,12
4d0c952b,ts1739732399225,49,33,26,22
4d0c952b,ts1739732399235,0,0,5,10
4d0c952b,ts1739732399247,47,30,22,18
4d0c952b,ts1739732399258,0,0,8,12
4d0c952b,ts1739732399268,39,27,21,18
4d0c952b,ts1739732399279,0,3,11,14
4d0c952b,ts1739732399289,38,25,20,18
